.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
fm_1_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_1_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_2_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_2_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_3_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_3_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_4_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
fm_4_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
m_1_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
m_1_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
m_2_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
m_2_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
m_3_R1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
m_3_R2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
