Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
fm_1_R1 - illumina_universal_adapter	(1, 9.148899808202464e-06)	(2, 9.148899808202464e-06)	(3, 9.148899808202464e-06)	(4, 9.148899808202464e-06)	(5, 9.148899808202464e-06)	(6, 9.148899808202464e-06)	(7, 9.148899808202464e-06)	(8, 9.148899808202464e-06)	(9, 9.148899808202464e-06)	(10, 9.148899808202464e-06)	(12, 1.8297799616404927e-05)	(14, 3.202114932870862e-05)	(16, 4.574449904101232e-05)	(18, 8.234009827382219e-05)	(20, 0.00010063789789022711)	(22, 0.0001555312967394419)	(24, 0.00027446699424607394)	(26, 0.00047574279002652816)	(28, 0.000709039735135691)	(30, 0.0010887190771760934)	(32, 0.0015324407178739128)	(34, 0.002012757957804542)	(36, 0.0025799897459130947)	(38, 0.0034125396284595193)	(40, 0.004295408459951057)	(42, 0.005173702841538494)	(44, 0.0063950809659335224)	(46, 0.007822309336013107)	(48, 0.009830492843913548)	(50, 0.012671226234360414)	(52, 0.016015149114258415)	(54, 0.020205345226415143)	(56, 0.024702029482146656)	(58, 0.02926275603653558)	(60, 0.034431884428169975)	(62, 0.04205291796840263)	(64, 0.052930959840355354)	(66, 0.060867630423970996)	(68, 0.07024982717728262)	(70, 0.07794405191598089)	(72, 0.08877177483898852)	(74, 0.09974588015892737)	(76, 0.11351039992036797)	(78, 0.14008795386319614)	(80, 0.17349973596275153)	(82, 0.19577273254582045)	(84, 0.22263847683260696)	(86, 0.2677105317377164)	(88, 0.3237109474637237)	(90, 0.4075651886558034)	(92, 0.5292913006039373)	(94, 0.6948452170832649)	(96, 0.8676587855604012)	(98, 1.0767523162269643)	(100, 1.5549790325514197)	(102, 2.019798036206954)	(104, 2.5591073821008727)	(106, 3.068472378922545)	(108, 3.718039690855016)	(110, 4.4371981091785795)	(112, 4.984247424310237)	(114, 5.875359414528965)	(116, 6.921609298795383)	(118, 7.78330757613074)	(120, 8.848234939355603)	(122, 10.44517082642744)	(124, 14.286039071657477)	(126, 17.77354935959531)	(128, 19.114119350691603)	(130, 20.952892680843558)	(132, 24.774566534275987)	(134, 26.983202436974146)	(136, 27.600286580137592)	(138, 28.82455118242211)
fm_1_R2 - illumina_universal_adapter	(1, 9.148899808202464e-06)	(2, 9.148899808202464e-06)	(3, 9.148899808202464e-06)	(4, 9.148899808202464e-06)	(5, 9.148899808202464e-06)	(6, 9.148899808202464e-06)	(7, 9.148899808202464e-06)	(8, 9.148899808202464e-06)	(9, 9.148899808202464e-06)	(10, 9.148899808202464e-06)	(12, 1.8297799616404927e-05)	(14, 4.117004913691109e-05)	(16, 6.861674856151848e-05)	(18, 0.00010978679769842958)	(20, 0.0001555312967394419)	(22, 0.00024702029482146653)	(24, 0.00043457274088961706)	(26, 0.0007547842341767033)	(28, 0.0010704212775596883)	(30, 0.0016605253151887474)	(32, 0.0022597782526260087)	(34, 0.002840733390446865)	(36, 0.0035726453751030625)	(38, 0.004720832301032472)	(40, 0.005786679128688059)	(42, 0.006857100406247747)	(44, 0.008320924375560142)	(46, 0.009931130741803774)	(48, 0.01229154689232001)	(50, 0.015438768426341658)	(52, 0.018919924803362697)	(54, 0.023444055758518816)	(56, 0.02817861140926359)	(58, 0.03285827366115915)	(60, 0.038480272593299565)	(62, 0.046535878874421836)	(64, 0.05770668554023704)	(66, 0.06610995001407101)	(68, 0.07600448515664197)	(70, 0.08402807028843554)	(72, 0.09533153600146968)	(74, 0.10684085196018839)	(76, 0.12080664751740944)	(78, 0.14795143324834614)	(80, 0.18194417048572242)	(82, 0.2045099318626538)	(84, 0.2320343969356309)	(86, 0.2774449611336438)	(88, 0.3338845240504449)	(90, 0.4185941873745914)	(92, 0.5412534871031618)	(94, 0.7079189949091862)	(96, 0.8815010709702116)	(98, 1.0911526845250752)	(100, 1.5716391791021562)	(102, 2.038214771520866)	(104, 2.5788232611875492)	(106, 3.0893455938349588)	(108, 3.741497469963247)	(110, 4.462892794289916)	(112, 5.0096447701778075)	(114, 5.901008355141261)	(116, 6.946622390871008)	(118, 7.8050270642754125)	(120, 8.868371667833456)	(122, 10.460156724313276)	(124, 14.298037853755934)	(126, 17.786572818472287)	(128, 19.12587111249524)	(130, 20.964649017097095)	(132, 24.79841771607597)	(134, 27.012483490810297)	(136, 27.62547350130957)	(138, 28.84176483741124)
fm_2_R1 - illumina_universal_adapter	(1, 1.3732681543646787e-05)	(2, 2.7465363087293574e-05)	(3, 2.7465363087293574e-05)	(4, 4.119804463094036e-05)	(5, 4.119804463094036e-05)	(6, 4.119804463094036e-05)	(7, 4.119804463094036e-05)	(8, 4.119804463094036e-05)	(9, 4.119804463094036e-05)	(10, 4.119804463094036e-05)	(12, 5.493072617458715e-05)	(14, 7.552974849005733e-05)	(16, 0.0001098614523491743)	(18, 0.0001167277931209977)	(20, 0.00013732681543646787)	(22, 0.000226589245470172)	(24, 0.0004257131278530504)	(26, 0.0006523023733232224)	(28, 0.000975020389598922)	(30, 0.0012634067020155044)	(32, 0.0019431744384260205)	(34, 0.0023139568401044836)	(36, 0.0028495314203067085)	(38, 0.003597962564435458)	(40, 0.004476854183228853)	(42, 0.005602934069807889)	(44, 0.006948736861085275)	(46, 0.008596658646322888)	(48, 0.011569784200522418)	(50, 0.015497331122005398)	(52, 0.02235680555305697)	(54, 0.030390424256090343)	(56, 0.04028482130828785)	(58, 0.05267170006065726)	(60, 0.06535383146621507)	(62, 0.08363203060080894)	(64, 0.10732090626359965)	(66, 0.12647113067621507)	(68, 0.15412875130511972)	(70, 0.17345063423703075)	(72, 0.2037243307000001)	(74, 0.23148494644048206)	(76, 0.2684464588152074)	(78, 0.3392315658319348)	(80, 0.4225340120756962)	(82, 0.472850557251618)	(84, 0.5378885370423292)	(86, 0.6349236648297374)	(88, 0.7620058998346447)	(90, 1.0551025220206982)	(92, 1.462139202974389)	(94, 2.0227209962675947)	(96, 2.5885074758658417)	(98, 3.2723812840579085)	(100, 4.916004739972362)	(102, 6.461446389190511)	(104, 8.27981821774787)	(106, 9.925954754384811)	(108, 11.823131575980387)	(110, 13.828707319340737)	(112, 15.436577738856307)	(114, 18.088207485437522)	(116, 21.053258222889387)	(118, 23.40471901628957)	(120, 25.61940230151503)	(122, 29.048569610756754)	(124, 36.37525733328628)	(126, 41.896976324445035)	(128, 44.40514074693978)	(130, 47.325024694794585)	(132, 52.98957044034805)	(134, 56.37577505538047)	(136, 57.52895638898589)	(138, 61.09383005724194)
fm_2_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00013732681543646787)	(4, 0.00019225754161105504)	(5, 0.00019225754161105504)	(6, 0.00020599022315470183)	(7, 0.00027465363087293573)	(8, 0.00027465363087293573)	(9, 0.00027465363087293573)	(10, 0.0002883863124165825)	(12, 0.0002883863124165825)	(14, 0.0002883863124165825)	(16, 0.0002883863124165825)	(18, 0.0002952526531884059)	(20, 0.0003021189939602293)	(22, 0.0003158516755038761)	(24, 0.0003295843570475229)	(26, 0.0003570497201348165)	(28, 0.00038451508322211007)	(30, 0.00039824776476575686)	(32, 0.0004257131278530504)	(34, 0.0004325794686248738)	(36, 0.0004394458093966972)	(38, 0.00044631215016852055)	(40, 0.00046691117248399077)	(42, 0.0004943765355712844)	(44, 0.0005081092171149311)	(46, 0.000542440920974048)	(48, 0.0005973716471486352)	(50, 0.0006248370102359289)	(52, 0.0006385696917795756)	(54, 0.0006523023733232224)	(56, 0.0006935004179541628)	(58, 0.0007278321218132797)	(60, 0.0007552974849005733)	(62, 0.0007758965072160436)	(64, 0.0008514262557061008)	(66, 0.0010574164788608026)	(68, 0.004703443428699025)	(70, 0.01909529368644086)	(72, 0.02023510625456354)	(74, 0.02053035890775195)	(76, 0.020681418404732064)	(78, 0.020770680834765763)	(80, 0.020798146197853057)	(82, 0.02090114130943041)	(84, 0.020990403739464113)	(86, 0.021017869102551406)	(88, 0.02103846812486688)	(90, 0.021107131532585113)	(92, 0.02126505737033705)	(94, 0.0214847802750354)	(96, 0.021828097313626567)	(98, 0.022143948989130448)	(100, 0.022555929435439846)	(102, 0.023221964490306717)	(104, 0.023716341025878003)	(106, 0.024375509739973048)	(108, 0.02515140624718909)	(110, 0.0261813573629626)	(112, 0.027499694791152694)	(114, 0.028934760012463784)	(116, 0.030720008613137867)	(118, 0.03370686684888104)	(120, 0.037963998127411545)	(122, 0.04511185887087969)	(124, 0.05341326486401418)	(126, 0.06345185507241999)	(128, 0.07557781287546009)	(130, 0.0892555636929323)	(132, 0.10737583698977424)	(134, 0.13014462298914062)	(136, 0.14987162002658921)	(138, 0.17577145741790706)
fm_2_R2 - illumina_universal_adapter	(1, 1.3732681543646787e-05)	(2, 2.7465363087293574e-05)	(3, 2.7465363087293574e-05)	(4, 4.119804463094036e-05)	(5, 4.119804463094036e-05)	(6, 4.119804463094036e-05)	(7, 4.119804463094036e-05)	(8, 4.119804463094036e-05)	(9, 4.119804463094036e-05)	(10, 4.119804463094036e-05)	(12, 5.493072617458715e-05)	(14, 7.552974849005733e-05)	(16, 0.0001098614523491743)	(18, 0.0001167277931209977)	(20, 0.00013732681543646787)	(22, 0.000226589245470172)	(24, 0.0004943765355712843)	(26, 0.0007827628479878669)	(28, 0.0011398125681226835)	(30, 0.0014625305843983828)	(32, 0.002169763683896192)	(34, 0.002547412426346479)	(36, 0.0031104523696359973)	(38, 0.003906947899167511)	(40, 0.004785839517960905)	(42, 0.005959983789942706)	(44, 0.007367583648166502)	(46, 0.00906356981880688)	(48, 0.01207789341763735)	(50, 0.016080970087610388)	(52, 0.022933578177890136)	(54, 0.03098779590323898)	(56, 0.04108131683781936)	(58, 0.05349566095327606)	(60, 0.06629452015195486)	(62, 0.08466198171658246)	(64, 0.1085431149209842)	(66, 0.12775513640054606)	(68, 0.1555912818895181)	(70, 0.1749543628660601)	(72, 0.20520059396594212)	(74, 0.2328994126394777)	(76, 0.2702729054605124)	(78, 0.3413395324488846)	(80, 0.42446345383257855)	(82, 0.47482806339390315)	(84, 0.5403810187425011)	(86, 0.6376015377307486)	(88, 0.7649240946626698)	(90, 1.0574782759277492)	(92, 1.4646522836968763)	(94, 2.0250898838338736)	(96, 2.589949407427925)	(98, 3.2724224821025394)	(100, 4.913045347099706)	(102, 6.457168658889666)	(104, 8.273391322785443)	(106, 9.915421787640835)	(108, 11.812433817057885)	(110, 13.813924087659002)	(112, 15.414440656207947)	(114, 18.05115671063276)	(116, 20.995677089176873)	(118, 23.327795400622833)	(120, 25.531828991311194)	(122, 28.923286357034065)	(124, 36.1752545592846)	(126, 41.657292967123)	(128, 44.14257874216602)	(130, 47.03681690723807)	(132, 52.67458392378142)	(134, 56.03839740155693)	(136, 57.17315634287155)	(138, 60.684980662324485)
fm_2_R2 - polyg	(1, 0.06764718928400408)	(2, 0.0690616554829997)	(3, 0.06910285352763064)	(4, 0.06911658620917428)	(5, 0.06913031889071793)	(6, 0.06918524961689251)	(7, 0.06918524961689251)	(8, 0.06925391302461074)	(9, 0.06937750715850358)	(10, 0.06944617056622181)	(12, 0.06960409640397375)	(14, 0.06972769053786657)	(16, 0.06978948760481297)	(18, 0.0698581510125312)	(20, 0.06989934905716215)	(22, 0.06994741344256492)	(24, 0.0699748788056522)	(26, 0.06998174514642402)	(28, 0.06999547782796767)	(30, 0.07002980953182679)	(32, 0.07005040855414227)	(34, 0.07009847293954502)	(36, 0.07012593830263232)	(38, 0.07014653732494779)	(40, 0.07015340366571962)	(42, 0.07017400268803509)	(44, 0.07019460171035055)	(46, 0.0702632651180688)	(48, 0.07030446316269973)	(50, 0.07031132950347155)	(52, 0.07032506218501519)	(54, 0.07034566120733067)	(56, 0.07035939388887431)	(58, 0.07037312657041797)	(60, 0.07040745827427708)	(62, 0.07049672070431079)	(64, 0.07051045338585443)	(66, 0.07057225045280086)	(68, 0.07062718117897543)	(70, 0.07065464654206273)	(72, 0.07068211190515002)	(74, 0.07079197335749918)	(76, 0.0708537704244456)	(78, 0.07089496846907654)	(80, 0.07090183480984837)	(82, 0.07094303285447931)	(84, 0.07105289430682848)	(86, 0.07114902307763402)	(88, 0.07127261721152683)	(90, 0.07143054304927876)	(92, 0.07157473620548706)	(94, 0.07176012740632629)	(96, 0.07189058788099092)	(98, 0.07204164737797104)	(100, 0.07236436539424676)	(102, 0.0728175438851871)	(104, 0.07328445505767109)	(106, 0.073909292067907)	(108, 0.07445173298888105)	(110, 0.0750491046360297)	(112, 0.07590053089173579)	(114, 0.07680002153284465)	(116, 0.07785057167093364)	(118, 0.07916204275835191)	(120, 0.0804185831195956)	(122, 0.08269134191506913)	(124, 0.08537608115685208)	(126, 0.08972934120618811)	(128, 0.09645835516257503)	(130, 0.10261746283490061)	(132, 0.11130338391125721)	(134, 0.12066220638325251)	(136, 0.13302161977253463)	(138, 0.14965876346266271)
fm_3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 8.567644120625575e-06)	(5, 8.567644120625575e-06)	(6, 1.713528824125115e-05)	(7, 1.713528824125115e-05)	(8, 1.713528824125115e-05)	(9, 1.713528824125115e-05)	(10, 2.5702932361876726e-05)	(12, 4.7122042663440665e-05)	(14, 6.425733090469181e-05)	(16, 7.710879708563017e-05)	(18, 9.424408532688133e-05)	(20, 0.0001370823059300092)	(22, 0.0003812601633678381)	(24, 0.0007025468178912972)	(26, 0.0012851466180938361)	(28, 0.0020519507668898254)	(30, 0.003140041570209273)	(32, 0.004219564729408095)	(34, 0.005457589304838492)	(36, 0.006974062314189218)	(38, 0.009325880625300938)	(40, 0.011806213598222043)	(42, 0.014188018663755953)	(44, 0.016578391373410488)	(46, 0.01985551524954977)	(48, 0.02364669777292659)	(50, 0.027772018417007802)	(52, 0.034386239678130745)	(54, 0.04253406923684566)	(56, 0.05150010880908033)	(58, 0.061695605312624774)	(60, 0.07294920586506645)	(62, 0.08887645628530941)	(64, 0.1117863366638622)	(66, 0.12964130701124588)	(68, 0.15647088457498487)	(70, 0.17711033926157188)	(72, 0.2086649725578359)	(74, 0.23840754912258758)	(76, 0.2770519079286692)	(78, 0.35454196517766723)	(80, 0.440766735607643)	(82, 0.49839270996297064)	(84, 0.5737836944024154)	(86, 0.6775592838134927)	(88, 0.8061339191317207)	(90, 1.0916892138501106)	(92, 1.4867732710065784)	(94, 2.04201658353196)	(96, 2.574491381806779)	(98, 3.2013173609599876)	(100, 4.826535193311754)	(102, 6.2654881586590605)	(104, 7.95893870878749)	(106, 9.580438183590905)	(108, 11.381746805553888)	(110, 13.346637456711978)	(112, 14.99780239928306)	(114, 17.76225987035441)	(116, 20.80862710357082)	(118, 23.096822089442778)	(120, 25.26765320232834)	(122, 28.772530762126216)	(124, 35.862791749701415)	(126, 41.09532617877932)	(128, 43.620934867055865)	(130, 46.4547345658175)	(132, 51.689269539797564)	(134, 54.79200330368357)	(136, 55.92063191515976)	(138, 59.628622614125305)
fm_3_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004112469177900276)	(4, 0.0005397615795994113)	(5, 0.0005483292237200368)	(6, 0.0005654645119612879)	(7, 0.0005740321560819135)	(8, 0.0005825998002025392)	(9, 0.0005997350884437903)	(10, 0.0006639924193484821)	(12, 0.000685411529650046)	(14, 0.0006939791737706716)	(16, 0.0007196821061325483)	(18, 0.0007582365046753634)	(20, 0.0007839394370372402)	(22, 0.0008096423693991169)	(24, 0.0008353453017609935)	(26, 0.0008481967679419319)	(28, 0.0008781835223641214)	(30, 0.0009424408532688133)	(32, 0.0009724276076910029)	(34, 0.0009809952518116283)	(36, 0.0010195496503544433)	(38, 0.001049536404776633)	(40, 0.0010623878709575714)	(42, 0.0010623878709575714)	(44, 0.0010709555150781968)	(46, 0.0013793907034207176)	(48, 0.0016621229594013616)	(50, 0.002865876958349255)	(52, 0.004420904366242796)	(54, 0.0059630803079554)	(56, 0.006108730258006035)	(58, 0.006455719844891371)	(60, 0.006858399118560773)	(62, 0.00703831964509391)	(64, 0.007445282740823625)	(66, 0.007989328142483348)	(68, 0.011767659199679228)	(70, 0.026795306987256486)	(72, 0.03048796160324611)	(74, 0.03131473926088647)	(76, 0.0317259861786765)	(78, 0.03200443461259683)	(80, 0.03218007131706966)	(82, 0.03241568153038686)	(84, 0.0326298726334025)	(86, 0.03284406373641814)	(88, 0.03302398426295128)	(90, 0.03336240620571598)	(92, 0.03382505898822977)	(94, 0.03444621318697512)	(96, 0.035521452524113636)	(98, 0.03695653291431842)	(100, 0.03864007498402135)	(102, 0.040756283081815864)	(104, 0.042971019086997575)	(106, 0.04546420352609962)	(108, 0.04886555824198797)	(110, 0.05284094511395823)	(112, 0.056357963025475036)	(114, 0.05988783240317277)	(116, 0.06411596477670149)	(118, 0.0691751586299309)	(120, 0.07515537422612756)	(122, 0.08288767304499212)	(124, 0.09068851301682171)	(126, 0.09952175410518668)	(128, 0.10989288731320393)	(130, 0.12345118413409391)	(132, 0.13964403152207625)	(134, 0.1622454767122865)	(136, 0.18268787558409913)	(138, 0.20905051654326404)
fm_3_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 8.567644120625575e-06)	(5, 8.567644120625575e-06)	(6, 1.713528824125115e-05)	(7, 1.713528824125115e-05)	(8, 2.5702932361876726e-05)	(9, 2.5702932361876726e-05)	(10, 3.42705764825023e-05)	(12, 5.568968678406624e-05)	(14, 7.282497502531738e-05)	(16, 8.567644120625575e-05)	(18, 0.0001028117294475069)	(20, 0.00015850141623157315)	(22, 0.00042409838397096595)	(24, 0.0008010747252784913)	(26, 0.001452215678446035)	(28, 0.0022961286243276544)	(30, 0.003409922360008979)	(32, 0.004536567561871242)	(34, 0.005825998002025391)	(36, 0.007402444520220497)	(38, 0.00978853340781472)	(40, 0.012337407533700828)	(42, 0.014792037574260055)	(44, 0.017225248504517718)	(46, 0.020583764999802946)	(48, 0.02443492103202414)	(50, 0.02858594460846723)	(52, 0.0352087335137108)	(54, 0.04342938804745104)	(56, 0.05246825259471102)	(58, 0.06262947852177295)	(60, 0.07391734965069716)	(62, 0.08992599269008603)	(64, 0.11291726568778476)	(66, 0.1308836154087366)	(68, 0.15774746354895808)	(70, 0.17833551237082135)	(72, 0.20996297064211067)	(74, 0.23988546773339547)	(76, 0.27879542350721653)	(78, 0.356456833638627)	(80, 0.44277584815392973)	(82, 0.5004617960181017)	(84, 0.5761012421370446)	(86, 0.6799625079893281)	(88, 0.8085585624178577)	(90, 1.0941952497553937)	(92, 1.488812370307287)	(94, 2.0440171284341258)	(96, 2.5754124035497465)	(98, 3.20012217460516)	(100, 4.8230438783326)	(102, 6.259139534365678)	(104, 7.947787919964496)	(106, 9.56405684803227)	(108, 11.362795176759064)	(110, 13.320895969951557)	(112, 14.961959660104423)	(114, 17.704659598931443)	(116, 20.724295782491502)	(118, 22.98973510557908)	(120, 25.142561314345148)	(122, 28.60989117378438)	(124, 35.62791835377859)	(126, 40.821418596242914)	(128, 43.32011631433658)	(130, 46.12464894078215)	(132, 51.32602284819334)	(134, 54.39858993713062)	(136, 55.50467279310339)	(138, 59.140828079939546)
fm_3_R2 - polyg	(1, 0.08342315080253122)	(2, 0.0848882179471582)	(3, 0.08493105616776132)	(4, 0.08493962381188196)	(5, 0.08497389438836446)	(6, 0.08499102967660571)	(7, 0.08501673260896758)	(8, 0.08511954433841509)	(9, 0.08526519428846573)	(10, 0.0854536824591195)	(12, 0.08574069853716043)	(14, 0.08590776759751265)	(16, 0.08596774110635702)	(18, 0.08600201168283952)	(20, 0.08602343079314109)	(22, 0.08606626901374421)	(24, 0.0861305263446489)	(26, 0.08616908074319173)	(28, 0.08621620278585515)	(30, 0.08625475718439798)	(32, 0.08630187922706142)	(34, 0.08637042038002642)	(36, 0.08647751593153424)	(38, 0.08650750268595643)	(40, 0.08655462472861987)	(42, 0.08659746294922299)	(44, 0.08663601734776581)	(46, 0.08671740996691175)	(48, 0.08677738347575614)	(50, 0.08690161431550521)	(52, 0.08697443929053053)	(54, 0.08703012897731459)	(56, 0.08708581866409866)	(58, 0.08712437306264148)	(60, 0.08719719803766679)	(62, 0.08728287447887305)	(64, 0.08736855092007931)	(66, 0.08746279500540619)	(68, 0.08751848469219026)	(70, 0.08758702584515525)	(72, 0.08762558024369807)	(74, 0.08769412139666308)	(76, 0.08776694637168839)	(78, 0.0878697581011359)	(80, 0.0880025565850056)	(82, 0.08822103151008155)	(84, 0.08842237114691626)	(86, 0.08863227842787158)	(88, 0.0889064430397316)	(90, 0.08915918854129004)	(92, 0.08942478550902944)	(94, 0.08972893687531164)	(96, 0.09010162939455886)	(98, 0.09060712039767577)	(100, 0.09124540988466237)	(102, 0.09222640513647401)	(104, 0.0933273474059744)	(106, 0.09467675135497292)	(108, 0.09605185823633333)	(110, 0.09769684590749343)	(112, 0.09980877018322765)	(114, 0.10261895745479283)	(116, 0.10497934341002518)	(118, 0.10754535282415253)	(120, 0.11016276810300364)	(122, 0.11417242555145642)	(124, 0.11840484174704545)	(126, 0.12339121062524952)	(128, 0.13035670529531812)	(130, 0.13729221321096452)	(132, 0.14594124995073604)	(134, 0.15498439832005634)	(136, 0.16651216348435804)	(138, 0.1829834593062607)
