Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
fm_1_R1	12.623112170269076	68.18236794752484
fm_1_R2	6.862159747841683	71.79025488468909
fm_2_R1	18.509004313297947	70.57378851313374
fm_2_R2	9.521348758064345	77.70530736556493
fm_3_R1	17.214504678790455	70.07862527009499
fm_3_R2	10.007573797402634	74.61857705139387
fm_4_R1	10.58395908234668	69.63289558915721
fm_4_R2	6.583272492971172	72.36287044302715
m_1_R1	11.053822428726496	70.9692092517385
m_1_R2	6.402714508317107	73.9430395394865
m_2_R1	13.360258250892453	73.5516923271252
m_2_R2	7.514599414887109	77.60026023808825
m_3_R1	9.360219199332647	65.09580436427332
m_3_R2	4.365159617539922	67.21205983076081
