Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fm_1_R1	(1, 0.010274214484611367)	(2, 0.001674248664901051)	(3, 0.00894762401242201)	(4, 0.00039340269175270595)	(5, 9.148899808202464e-06)	(6, 0.0)	(7, 0.0174469519342421)	(8, 0.00032936039309528875)	(9, 0.0015095684683534066)	(10, 0.0002762967742077144)	(15, 0.0016687593250161294)	(20, 3.659559923280986e-06)	(25, 0.002439096688866777)	(30, 0.00012076547746827252)	(35, 0.0009533153600146968)	(40, 0.0003238710532103672)	(45, 6.221251869577677e-05)	(50, 3.6595599232809855e-05)	(55, 9.148899808202465e-05)	(60, 0.000252509634706388)	(65, 0.00014821217689287992)	(70, 0.00019578645589553274)	(75, 7.319119846561971e-05)	(80, 0.00021591403547357817)	(85, 0.0013705051912687293)	(90, 0.0003165519333638053)	(95, 0.0003604666524431771)	(100, 5.489339884921478e-05)	(105, 7.868053835054119e-05)	(110, 0.00021225447555029718)	(115, 0.0010978679769842957)	(120, 0.0006751888058453419)	(125, 0.00012076547746827252)	(130, 0.00021957359539685913)	(135, 0.0005873593676865983)	(140, 0.000515997949182619)	(145, 0.0003037434736323218)	(150, 0.00014638239693123942)
fm_1_R2	(1, 0.01221378124395029)	(2, 0.003019136936706813)	(3, 5.489339884921478e-05)	(4, 0.0054710420853050735)	(5, 5.489339884921478e-05)	(6, 0.0028819034395837764)	(7, 0.0013265904721893574)	(8, 0.0003385092929034912)	(9, 0.0006861674856151849)	(10, 0.01685410322667058)	(15, 5.8552958772495774e-05)	(20, 1.2808459731483449e-05)	(25, 0.00016285041658600387)	(30, 0.0009899109592475066)	(35, 0.00025067985474474755)	(40, 0.00015736107670108238)	(45, 0.00016102063662436336)	(50, 0.00012442503739155353)	(55, 0.0003311901730569292)	(60, 0.0003330199530185697)	(65, 0.001042974578135081)	(70, 0.004543343644753344)	(75, 5.672317881085528e-05)	(80, 0.0012094845546443658)	(85, 0.00044829609060192076)	(90, 0.002645861824532153)	(95, 1.829779961640493e-06)	(100, 0.00016102063662436336)	(105, 0.001529696047931452)	(110, 0.0004830619098730901)	(115, 0.000386083571906144)	(120, 4.9404058964293304e-05)	(125, 0.0030008391370904084)	(130, 0.0016687593250161294)	(135, 0.0005782104678783958)	(140, 0.00034765819271169365)	(145, 0.0006367634266508915)	(150, 0.061590393508818994)
fm_2_R1	(1, 0.007099796358065389)	(2, 0.0024856153594000683)	(3, 5.4930726174587155e-05)	(4, 0.0005630399432895183)	(5, 1.3732681543646789e-05)	(6, 0.0)	(7, 0.0006179706694641054)	(8, 0.0)	(9, 0.0)	(10, 0.00016753871483249082)	(15, 0.0029058354146356603)	(20, 0.0)	(25, 0.003872616195308394)	(30, 0.00019500407791978437)	(35, 0.0015710187685931925)	(40, 0.0004669111724839908)	(45, 7.14099440269633e-05)	(50, 4.669111724839908e-05)	(55, 0.0001867644689935963)	(60, 0.000414726982618133)	(65, 0.00019225754161105504)	(70, 0.0001867644689935963)	(75, 9.887530711425687e-05)	(80, 0.00041747351892686233)	(85, 0.002364767761815977)	(90, 0.0005136022897323898)	(95, 0.0004586715635578027)	(100, 6.866340771823393e-05)	(105, 0.00011260798865790366)	(110, 0.00024718826778564215)	(115, 0.0015572860870495457)	(120, 0.0010766422330219082)	(125, 8.239608926188071e-06)	(130, 0.00021697636838961926)	(135, 0.0007580440212093027)	(140, 0.0006646617867125046)	(145, 0.0003103586028864174)	(150, 1.3732681543646789e-05)
fm_2_R2	(1, 1.3732681543646789e-05)	(2, 0.0047927058587327286)	(3, 0.0)	(4, 0.00880264886947759)	(5, 0.0)	(6, 0.0009475550265116284)	(7, 4.119804463094036e-05)	(8, 0.0006729013956386927)	(9, 0.00043944580939669724)	(10, 0.00025268134040310093)	(15, 1.6479217852376142e-05)	(20, 3.021189939602293e-05)	(25, 0.00010162184342298623)	(30, 0.001603977204297945)	(35, 0.00021422983208088987)	(40, 0.0001867644689935963)	(45, 0.00033507742966498163)	(50, 0.00017303178744994954)	(55, 0.0005493072617458715)	(60, 0.0005795191611418944)	(65, 0.001603977204297945)	(70, 0.00787157306081834)	(75, 7.690301664442201e-05)	(80, 0.0019253219524192795)	(85, 0.0004778973177189082)	(90, 0.004386218485040784)	(95, 5.493072617458715e-06)	(100, 0.0002636674856380183)	(105, 0.0024911084320175273)	(110, 0.0006564221777863164)	(115, 0.0005328280438934954)	(120, 0.00010436837973171558)	(125, 0.00508658524376677)	(130, 0.0026723798283936648)	(135, 0.0008074816747664312)	(140, 0.00042845966416177973)	(145, 0.0010107253616124037)	(150, 0.09755696968606678)
fm_3_R1	(1, 0.010692419862540718)	(2, 0.001370823059300092)	(3, 0.009218785073793118)	(4, 0.00031700283246314625)	(5, 8.567644120625575e-06)	(6, 0.0)	(7, 0.01844613779170686)	(8, 0.0003769763413075253)	(9, 0.0013365524828175897)	(10, 0.0002638834389152677)	(15, 0.0016244253252706091)	(20, 8.567644120625575e-06)	(25, 0.002275566278438153)	(30, 0.00011994701768875806)	(35, 0.0009835655450478162)	(40, 0.0003015810730460202)	(45, 5.6546451196128796e-05)	(50, 3.598410530662742e-05)	(55, 0.00010452525827163202)	(60, 0.00021247757419151427)	(65, 0.0001456499500506348)	(70, 0.00019705581477438822)	(75, 5.997350884437903e-05)	(80, 0.00023989403537751612)	(85, 0.0013999530493102189)	(90, 0.0002518887371463919)	(95, 0.0003786898701316504)	(100, 6.168703766850413e-05)	(105, 9.595761415100645e-05)	(110, 0.0001730664112366366)	(115, 0.0010486796403645705)	(120, 0.0006631356549364195)	(125, 0.00011994701768875806)	(130, 0.00023303992008101562)	(135, 0.0005551833390165373)	(140, 0.00052262629135816)	(145, 0.00031357577481489607)	(150, 0.0001370823059300092)
fm_3_R2	(1, 0.012543030992595842)	(2, 0.003050081306942705)	(3, 3.42705764825023e-05)	(4, 0.005166289404737221)	(5, 5.140586472375345e-05)	(6, 0.0028016196274445633)	(7, 0.0015850141623157312)	(8, 0.00031700283246314625)	(9, 0.0007368173943737994)	(10, 0.01805545321980634)	(15, 7.196821061325484e-05)	(20, 1.5421759417126033e-05)	(25, 0.00017649346888488684)	(30, 0.0010401119962439448)	(35, 0.00023475344890514077)	(40, 0.0001730664112366366)	(45, 0.00019362875712613799)	(50, 0.00011309290239225759)	(55, 0.00029815401539777)	(60, 0.00033071106305614724)	(65, 0.0009989873044649422)	(70, 0.004441466712132298)	(75, 7.025468178912972e-05)	(80, 0.0011566319562844526)	(85, 0.0004198145619106531)	(90, 0.0024811897373331667)	(95, 5.140586472375345e-06)	(100, 0.00015421759417126035)	(105, 0.0014496453852098474)	(110, 0.00044380396544840475)	(115, 0.0003615545818903993)	(120, 3.769763413075253e-05)	(125, 0.002844457848047691)	(130, 0.0015678788740744803)	(135, 0.00059630803079554)	(140, 0.0003992522160211518)	(145, 0.0006460003666951684)	(150, 0.055278439866276216)
fm_4_R1	(1, 0.00764249164985753)	(2, 0.0027578829831622323)	(3, 1.3720810861503643e-05)	(4, 0.0004665075692911239)	(5, 1.3720810861503643e-05)	(6, 0.0)	(7, 0.0006037156779061604)	(8, 0.0)	(9, 0.0)	(10, 0.00017837054119954738)	(15, 0.0029719276326016894)	(20, 8.232486516902188e-06)	(25, 0.003962570176802253)	(30, 0.00016739389251034447)	(35, 0.0016217998438297309)	(40, 0.0004719958936357254)	(45, 8.232486516902187e-05)	(50, 7.958070299672115e-05)	(55, 0.00017288221685494594)	(60, 0.00040888016367280857)	(65, 0.00019483551423335176)	(70, 0.0002689278928854714)	(75, 0.00012897562209813427)	(80, 0.0003869268662944028)	(85, 0.002398397738590837)	(90, 0.0004994375153587326)	(95, 0.0005131583262202363)	(100, 4.390659475681166e-05)	(105, 9.330151385822479e-05)	(110, 0.00026069540636856924)	(115, 0.0015230100056269045)	(120, 0.001155292274538607)	(125, 5.488324344601458e-06)	(130, 0.00028813702809157653)	(135, 0.000718970489142791)	(140, 0.0006393897861460699)	(145, 0.0003485085958821926)	(150, 4.116243258451093e-05)
fm_4_R2	(1, 0.0)	(2, 0.004843446234110787)	(3, 0.0)	(4, 0.00846574030154775)	(5, 0.0)	(6, 0.0010976648689202916)	(7, 2.7441621723007285e-05)	(8, 0.0005625532453216494)	(9, 0.00028813702809157653)	(10, 0.0002853928659192758)	(15, 1.0976648689202915e-05)	(20, 8.232486516902188e-06)	(25, 6.037156779061603e-05)	(30, 0.0015861257355898211)	(35, 0.00018660302771644958)	(40, 0.000161905568165743)	(45, 0.0003265552985037867)	(50, 0.0001591614059934423)	(55, 0.000504925839703334)	(60, 0.000587250704872356)	(65, 0.0017946820606846768)	(70, 0.007689142406786643)	(75, 3.292994606760875e-05)	(80, 0.001931890169299713)	(85, 0.00045553092060192097)	(90, 0.004659587368566638)	(95, 0.0)	(100, 0.00026069540636856924)	(105, 0.002628907361064098)	(110, 0.0006092040022507619)	(115, 0.0005790182183554538)	(120, 9.330151385822479e-05)	(125, 0.005285256343851204)	(130, 0.0026398840097533014)	(135, 0.0008122720030010158)	(140, 0.0004472984340850188)	(145, 0.0011580364367109075)	(150, 0.0968003206279082)
m_1_R1	(1, 0.007435755430568133)	(2, 0.00278840828646305)	(3, 0.0)	(4, 0.0005004835385959321)	(5, 7.149764837084743e-05)	(6, 0.0)	(7, 0.0006005802463151184)	(8, 0.0)	(9, 0.0)	(10, 0.00016873445015519993)	(15, 0.0027798285686585484)	(20, 0.0)	(25, 0.003966689531614616)	(30, 0.00018303397982936942)	(35, 0.0015643685463541418)	(40, 0.0005176429742049354)	(45, 5.719811869667795e-05)	(50, 6.577783650117963e-05)	(55, 0.00016301463828553216)	(60, 0.00040324673681157953)	(65, 0.00016587454422036606)	(70, 0.00019733350950353892)	(75, 0.00010867642552368809)	(80, 0.00039180711307224394)	(85, 0.0022536058766491115)	(90, 0.0004919038207914304)	(95, 0.0004633047614430914)	(100, 3.7178777152840666e-05)	(105, 0.00014871510861136266)	(110, 0.0002202127569822101)	(115, 0.001501450615787796)	(120, 0.0010410057602795386)	(125, 3.431887121800677e-05)	(130, 0.00027169106380922023)	(135, 0.0007321359193174777)	(140, 0.0006263193997286235)	(145, 0.0003260292765710643)	(150, 5.719811869667795e-05)
m_1_R2	(1, 0.0)	(2, 0.004933337737588473)	(3, 0.0)	(4, 0.008765611690265896)	(5, 0.0)	(6, 0.0011296628442593894)	(7, 2.8599059348338976e-05)	(8, 0.00047188447924759305)	(9, 0.0004432854198992541)	(10, 0.00021735285104737618)	(15, 1.7159435609003383e-05)	(20, 2.0019341543837282e-05)	(25, 7.435755430568133e-05)	(30, 0.0015672284522889757)	(35, 0.00018875379169903725)	(40, 0.00023737219259121347)	(45, 0.0003088698409620609)	(50, 0.00021163303917770838)	(55, 0.0005205028801397693)	(60, 0.0005662613750971117)	(65, 0.0017102237490306707)	(70, 0.007990577181925909)	(75, 5.4338212761844046e-05)	(80, 0.0018046006448801894)	(85, 0.00047474438518242695)	(90, 0.004484332505819552)	(95, 1.7159435609003383e-05)	(100, 0.00026025144006988464)	(105, 0.0025138573167189956)	(110, 0.0005576816572926101)	(115, 0.0004919038207914304)	(120, 0.00010581651958885419)	(125, 0.004930477831653639)	(130, 0.002531016752327999)	(135, 0.0007893340380141557)	(140, 0.00040610664274641343)	(145, 0.000978087829713193)	(150, 0.09459138879463116)
