Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fm_1_R1	(1, 36.476436002164995)	(2, 36.42152595231813)	(3, 36.50573123679585)	(4, 36.590823049664984)	(5, 36.62305901516119)	(6, 36.57030087803821)	(7, 36.578964062755595)	(8, 36.50021024171759)	(9, 36.57100689863641)	(10, 36.55286990008304)	(15, 36.532244126314836)	(20, 36.50641934384822)	(25, 36.42949094789555)	(30, 36.37254184615283)	(35, 36.30098648927072)	(40, 36.096792706789834)	(45, 36.32967116292398)	(50, 36.357019639760246)	(55, 36.33889852369693)	(60, 36.268640718679016)	(65, 35.95464405473384)	(70, 35.77459787840673)	(75, 35.592630744182486)	(80, 35.82648778493791)	(85, 36.07980773770031)	(90, 36.20470676129313)	(95, 36.18534739653417)	(100, 36.087168485041)	(105, 35.974534421637664)	(110, 35.80367035562505)	(115, 35.64632933331235)	(120, 35.75918198222991)	(125, 35.42502498564538)	(130, 35.2072889650728)	(135, 35.00647165725733)	(140, 35.30758132731506)	(145, 35.332209616664755)	(150, 35.36622076148855)
fm_1_R2	(1, 36.370979195767795)	(2, 36.48002941554266)	(3, 36.59642537846254)	(4, 36.610567015874075)	(5, 36.65531556568197)	(6, 36.638657523378185)	(7, 36.60081803972745)	(8, 36.58161852454595)	(9, 36.59807391871898)	(10, 36.61032568619493)	(15, 36.632871265098885)	(20, 36.65385000342169)	(25, 36.57461987236187)	(30, 36.51173827632532)	(35, 36.49740579286378)	(40, 36.5167335939184)	(45, 36.3267510170832)	(50, 36.296490591820366)	(55, 36.2550898989193)	(60, 36.174547102012795)	(65, 36.19473718687433)	(70, 36.210369125171226)	(75, 36.19231940712202)	(80, 36.0637952234692)	(85, 35.74965497669044)	(90, 35.6247905542367)	(95, 35.50659066614603)	(100, 35.617938979765924)	(105, 35.67245357756749)	(110, 35.53821005068856)	(115, 35.37687701573135)	(120, 35.039924243450024)	(125, 34.65840778403034)	(130, 34.789785070386145)	(135, 34.993799497835184)	(140, 34.88522749105329)	(145, 34.6649635196769)	(150, 34.23792390969816)
fm_2_R1	(1, 36.41810384900972)	(2, 36.39110677036306)	(3, 36.48294613808843)	(4, 36.56149556592312)	(5, 36.612895345019204)	(6, 36.574140207108066)	(7, 36.60156368551665)	(8, 36.481430324699645)	(9, 36.572098432016155)	(10, 36.53287770126995)	(15, 36.51609705105769)	(20, 36.54702744435209)	(25, 36.442919491193166)	(30, 36.44497464191689)	(35, 36.3798981831525)	(40, 36.10799636193801)	(45, 36.399607492496116)	(50, 36.4279237050665)	(55, 36.40932254072735)	(60, 36.369423305651445)	(65, 36.147741214208004)	(70, 36.12124521364551)	(75, 35.970181596860925)	(80, 36.13680335308139)	(85, 36.246280043159075)	(90, 36.255099610692206)	(95, 36.25869658450357)	(100, 36.20584542576051)	(105, 36.09640095255372)	(110, 35.99391189029126)	(115, 35.7393205810737)	(120, 35.87100186366221)	(125, 35.83934877426891)	(130, 35.69112584505773)	(135, 35.54529874693401)	(140, 35.49580764578031)	(145, 35.22557602076052)	(150, 35.126975532069316)
fm_2_R2	(1, 36.16776502942433)	(2, 36.305919101596984)	(3, 36.43587737209758)	(4, 36.474206247573605)	(5, 36.5469393354673)	(6, 36.51377861736341)	(7, 36.4351142469842)	(8, 36.44254280373842)	(9, 36.485149409515294)	(10, 36.51356452485815)	(15, 36.54699635356107)	(20, 36.52977724629248)	(25, 36.44184188767243)	(30, 36.339143704135424)	(35, 36.37593416222884)	(40, 36.40249294861134)	(45, 36.108036626160285)	(50, 36.1215393402188)	(55, 36.145586556473795)	(60, 36.08814244745773)	(65, 36.201095538402825)	(70, 36.20272934299143)	(75, 36.19694475301017)	(80, 36.07422992271659)	(85, 35.90711953022144)	(90, 35.729162241882236)	(95, 35.64551463842056)	(100, 35.77280484115475)	(105, 35.83476595871489)	(110, 35.61888529352028)	(115, 35.37355684279609)	(120, 35.12131478341021)	(125, 34.84342271157565)	(130, 34.68596002224145)	(135, 34.78315628931409)	(140, 34.45629693573064)	(145, 34.24327431621889)	(150, 33.88938640868268)
fm_3_R1	(1, 36.45411546785334)	(2, 36.41926965974458)	(3, 36.51444504798737)	(4, 36.59827764650243)	(5, 36.62394939263971)	(6, 36.59062596921474)	(7, 36.610376016765166)	(8, 36.45948086930744)	(9, 36.56492594985187)	(10, 36.53060852549131)	(15, 36.50174917022367)	(20, 36.55549384757476)	(25, 36.454502930991055)	(30, 36.44093853400754)	(35, 36.404003008956614)	(40, 36.153285537302665)	(45, 36.37392778504123)	(50, 36.37873313673445)	(55, 36.40165312693308)	(60, 36.45181714591212)	(65, 36.31521964869232)	(70, 36.28810507701455)	(75, 36.11390917611821)	(80, 36.082413950866275)	(85, 36.21675798632947)	(90, 36.24620823487682)	(95, 36.27808220140475)	(100, 36.196548438889565)	(105, 36.11140466525357)	(110, 36.04443822814265)	(115, 35.81197259724705)	(120, 35.99964644759772)	(125, 35.83087909169264)	(130, 35.65385237263769)	(135, 35.407158506556826)	(140, 35.27727098258883)	(145, 34.82079519732141)	(150, 34.48048736186816)
fm_3_R2	(1, 36.18046148758291)	(2, 36.32585492236858)	(3, 36.47852537136453)	(4, 36.43789803132673)	(5, 36.55115945927884)	(6, 36.5172366434712)	(7, 36.418548521138945)	(8, 36.438671518237946)	(9, 36.47267247095997)	(10, 36.510637741157765)	(15, 36.537331864267955)	(20, 36.51224838971129)	(25, 36.42923977580189)	(30, 36.299474580656664)	(35, 36.33747160254356)	(40, 36.362718462073616)	(45, 36.09282012573874)	(50, 36.10570728472509)	(55, 36.15092121023114)	(60, 36.0826180835551)	(65, 36.15894585420269)	(70, 36.15255550548244)	(75, 36.14420738153947)	(80, 36.00275379503796)	(85, 35.78605538810571)	(90, 35.58214684599317)	(95, 35.56223178561699)	(100, 35.65159558663517)	(105, 35.72483712051762)	(110, 35.47245058611253)	(115, 35.23023872883578)	(120, 35.09318241713803)	(125, 34.807601145322664)	(130, 34.657410635188)	(135, 34.67797944108116)	(140, 34.2549122073507)	(145, 34.009408387038185)	(150, 33.675750482786746)
fm_4_R1	(1, 36.4749195240141)	(2, 36.43463220474633)	(3, 36.4891515722883)	(4, 36.595607364727556)	(5, 36.587287476645464)	(6, 36.56746790256413)	(7, 36.59215959937428)	(8, 36.51444492665472)	(9, 36.56903015408882)	(10, 36.52697666460534)	(15, 36.506584740619736)	(20, 36.50214232624548)	(25, 36.41077404719602)	(30, 36.367663506443776)	(35, 36.30664706054266)	(40, 36.211880575708754)	(45, 36.36310811491289)	(50, 36.32694145700467)	(55, 36.322317927927045)	(60, 36.26437768782109)	(65, 35.974532857843215)	(70, 35.78595664031676)	(75, 35.70627130241642)	(80, 35.93680375631895)	(85, 36.100861762967774)	(90, 36.18350154818769)	(95, 36.17090696892332)	(100, 36.08507289660999)	(105, 35.954662406995205)	(110, 35.81063349120956)	(115, 35.59762201882797)	(120, 35.56230146844234)	(125, 35.426224146733645)	(130, 35.22489196576548)	(135, 34.904440479739925)	(140, 35.215157763941406)	(145, 34.983849535392764)	(150, 34.863658635007084)
fm_4_R2	(1, 36.26513724446876)	(2, 36.295406313686)	(3, 36.4505328408294)	(4, 36.48594584203862)	(5, 36.574033036145146)	(6, 36.54116812672102)	(7, 36.479171191675746)	(8, 36.470894661355985)	(9, 36.520358458927916)	(10, 36.52882450108731)	(15, 36.53795652396429)	(20, 36.538748955674784)	(25, 36.49141108797935)	(30, 36.38519829110045)	(35, 36.37277722521024)	(40, 36.40148530521738)	(45, 36.23574378251747)	(50, 36.21622205979831)	(55, 36.18953766218513)	(60, 36.06513414356551)	(65, 36.0924913548601)	(70, 36.07953391503169)	(75, 36.04724226108535)	(80, 35.88903439656354)	(85, 35.64611918527471)	(90, 35.482566790506134)	(95, 35.27384581568094)	(100, 35.37325970380337)	(105, 35.44265778143544)	(110, 35.31042791230042)	(115, 35.161949337552386)	(120, 34.66940749010833)	(125, 34.23097901141283)	(130, 34.25139777330448)	(135, 34.507965191400515)	(140, 34.435105956903755)	(145, 34.18643308175312)	(150, 33.90996842978629)
m_1_R1	(1, 36.46433475656552)	(2, 36.43159412443765)	(3, 36.486637161017136)	(4, 36.580292359604)	(5, 36.59394068869681)	(6, 36.5597623818555)	(7, 36.562642307131874)	(8, 36.48644468934772)	(9, 36.553276687176485)	(10, 36.52433160780908)	(15, 36.50569271426094)	(20, 36.498210342363635)	(25, 36.416101613601825)	(30, 36.36911092817246)	(35, 36.30275696362071)	(40, 36.11848779041809)	(45, 36.33097499770135)	(50, 36.33417491785278)	(55, 36.32537384332892)	(60, 36.26304007714882)	(65, 35.93947967157412)	(70, 35.76748512884662)	(75, 35.64746411425782)	(80, 35.87236886151578)	(85, 36.08832559228294)	(90, 36.204918008641776)	(95, 36.17339332272022)	(100, 36.09718743980792)	(105, 35.95555108456928)	(110, 35.76044724352971)	(115, 35.55846552891028)	(120, 35.607958975221344)	(125, 35.48362811098781)	(130, 35.26288172415721)	(135, 35.06232878994377)	(140, 35.3541607127)	(145, 35.305420794404654)	(150, 35.31891869244529)
m_1_R2	(1, 36.41580215285139)	(2, 36.483584926408184)	(3, 36.5518450182655)	(4, 36.58233433244147)	(5, 36.61015363843668)	(6, 36.56514744173549)	(7, 36.52038119114224)	(8, 36.51471900637716)	(9, 36.53877710708217)	(10, 36.55457159538566)	(15, 36.560790403642834)	(20, 36.53663972778271)	(25, 36.38788197797386)	(30, 36.33493831254397)	(35, 36.29861333170891)	(40, 36.4003004045194)	(45, 36.2655099205132)	(50, 36.26318647573363)	(55, 36.13820858638139)	(60, 36.038486297547195)	(65, 36.10755588577936)	(70, 36.13014742672099)	(75, 36.10694572484817)	(80, 35.96294208247197)	(85, 35.721302824428804)	(90, 35.633649624630195)	(95, 35.46001787155218)	(100, 35.52131981227005)	(105, 35.50504563194412)	(110, 35.34448799604532)	(115, 35.208263097618456)	(120, 34.87576514280869)	(125, 34.59628498219065)	(130, 34.634067685679746)	(135, 34.84045677273629)	(140, 34.93022767568152)	(145, 34.7256263444239)	(150, 34.41357786101057)
m_2_R1	(1, 36.483126276515655)	(2, 36.45295644262355)	(3, 36.49400723053876)	(4, 36.60499066255803)	(5, 36.59437383116816)	(6, 36.56295724331548)	(7, 36.58121315132522)	(8, 36.50146753881308)	(9, 36.561010742748785)	(10, 36.51953632802683)	(15, 36.50015902851494)	(20, 36.493633706434636)	(25, 36.4119287769999)	(30, 36.354283186500176)	(35, 36.287878634130564)	(40, 36.16414062898447)	(45, 36.34991801496052)	(50, 36.33921561787916)	(55, 36.34891204993781)	(60, 36.313911374766896)	(65, 36.05361203225917)	(70, 35.866957267626915)	(75, 35.7008645623003)	(80, 35.84504972878213)	(85, 36.098426864984575)	(90, 36.242391088061055)	(95, 36.22693025550529)	(100, 36.133876218313546)	(105, 35.98703774905681)	(110, 35.81752357879165)	(115, 35.62270957846873)	(120, 35.6481581046803)	(125, 35.433884145956355)	(130, 35.17993349764694)	(135, 34.90379255789888)	(140, 35.30133638917538)	(145, 35.23386102366481)	(150, 35.210636544795015)
m_2_R2	(1, 36.407731618637044)	(2, 36.45455029521221)	(3, 36.54695820308877)	(4, 36.54363057501572)	(5, 36.596329448524095)	(6, 36.54636653667975)	(7, 36.48891675895764)	(8, 36.48993044021936)	(9, 36.52110748113155)	(10, 36.54150403768061)	(15, 36.545031204523404)	(20, 36.54313102781625)	(25, 36.502795445410655)	(30, 36.391972970966066)	(35, 36.35850988854527)	(40, 36.36440422310818)	(45, 36.23226806954234)	(50, 36.20014615930809)	(55, 36.06976027072372)	(60, 35.953023536907274)	(65, 36.02977281753975)	(70, 36.06567576416531)	(75, 36.02265236731306)	(80, 35.84953109314002)	(85, 35.59352781955205)	(90, 35.47002508041933)	(95, 35.29232073023103)	(100, 35.34222941699851)	(105, 35.339488936578064)	(110, 35.218442762550985)	(115, 35.0799658952806)	(120, 34.65292631758084)	(125, 34.289185506049186)	(130, 34.34284576480216)	(135, 34.58264673340156)	(140, 34.69006005717944)	(145, 34.515744721445095)	(150, 34.21310878020795)
m_3_R1	(1, 36.47583613120268)	(2, 36.422147254274286)	(3, 36.49764151766854)	(4, 36.58668171218056)	(5, 36.59114541158827)	(6, 36.55076330065594)	(7, 36.58334535201856)	(8, 36.512876644780576)	(9, 36.55971003679732)	(10, 36.52943245754047)	(15, 36.515559833043675)	(20, 36.50728582098632)	(25, 36.42033701199102)	(30, 36.378842601955384)	(35, 36.316456574677396)	(40, 36.200844208564874)	(45, 36.343603628864074)	(50, 36.33090110058928)	(55, 36.31309953431959)	(60, 36.21889796579388)	(65, 35.9540101182558)	(70, 35.79581048775988)	(75, 35.69841487641971)	(80, 35.90757529001289)	(85, 36.08424923771993)	(90, 36.19558869937414)	(95, 36.17435532175296)	(100, 36.09543545106596)	(105, 35.97154184825625)	(110, 35.84099166641823)	(115, 35.66574755282112)	(120, 35.67472681327045)	(125, 35.48245016811388)	(130, 35.29504427307635)	(135, 35.03979777454236)	(140, 35.228520434047766)	(145, 35.024366427286694)	(150, 35.01690592578925)
m_3_R2	(1, 36.39581142776878)	(2, 36.43693144568803)	(3, 36.505099816859406)	(4, 36.52134249922584)	(5, 36.54221056253087)	(6, 36.493916665256656)	(7, 36.42974037759889)	(8, 36.439603622418296)	(9, 36.47260827492521)	(10, 36.496095015025375)	(15, 36.5013978469499)	(20, 36.4755779510438)	(25, 36.39032636840453)	(30, 36.31902242297231)	(35, 36.31358516977501)	(40, 36.326906197048956)	(45, 36.20146407729129)	(50, 36.1816598354877)	(55, 36.092907525415825)	(60, 36.03960002352708)	(65, 36.0785805274739)	(70, 36.05244355313696)	(75, 35.96080775233398)	(80, 35.85340574624755)	(85, 35.69693218695219)	(90, 35.60183597166974)	(95, 35.44102429815579)	(100, 35.45546262000892)	(105, 35.441540201897794)	(110, 35.34993590482168)	(115, 35.24621674617799)	(120, 34.90544348411344)	(125, 34.67511264663803)	(130, 34.621803264731476)	(135, 34.751789468086564)	(140, 34.695692610643746)	(145, 34.54816452519211)	(150, 34.36748855673451)
