Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
fm_1_R1	(16.0, 9.0)	(17.0, 33.0)	(18.0, 73.0)	(19.0, 169.0)	(20.0, 328.0)	(21.0, 888.0)	(22.0, 1929.0)	(23.0, 3744.0)	(24.0, 6440.0)	(25.0, 12410.0)	(26.0, 22080.0)	(27.0, 36680.0)	(28.0, 57674.0)	(29.0, 82900.0)	(30.0, 111525.0)	(31.0, 144155.0)	(32.0, 183528.0)	(33.0, 250844.0)	(34.0, 408522.0)	(35.0, 1079565.0)	(36.0, 7995457.0)	(37.0, 531323.0)					
fm_1_R2	(12.0, 10.0)	(13.0, 181.0)	(14.0, 640.0)	(15.0, 677.0)	(16.0, 477.0)	(17.0, 413.0)	(18.0, 408.0)	(19.0, 456.0)	(20.0, 735.0)	(21.0, 1407.0)	(22.0, 2652.0)	(23.0, 4742.0)	(24.0, 7742.0)	(25.0, 11627.0)	(26.0, 16273.0)	(27.0, 22755.0)	(28.0, 31520.0)	(29.0, 43237.0)	(30.0, 61718.0)	(31.0, 93176.0)	(32.0, 151322.0)	(33.0, 281557.0)	(34.0, 690187.0)	(35.0, 2364995.0)	(36.0, 6670824.0)	(37.0, 470545.0)	
fm_2_R1	(15.0, 4.0)	(16.0, 6.0)	(17.0, 8.0)	(18.0, 22.0)	(19.0, 36.0)	(20.0, 77.0)	(21.0, 134.0)	(22.0, 277.0)	(23.0, 668.0)	(24.0, 1702.0)	(25.0, 4126.0)	(26.0, 8952.0)	(27.0, 17214.0)	(28.0, 29591.0)	(29.0, 45738.0)	(30.0, 65605.0)	(31.0, 88123.0)	(32.0, 113808.0)	(33.0, 155889.0)	(34.0, 259152.0)	(35.0, 639892.0)	(36.0, 5237624.0)	(37.0, 613251.0)				
fm_2_R2	(12.0, 21.0)	(13.0, 220.0)	(14.0, 699.0)	(15.0, 604.0)	(16.0, 490.0)	(17.0, 466.0)	(18.0, 472.0)	(19.0, 548.0)	(20.0, 687.0)	(21.0, 1141.0)	(22.0, 2054.0)	(23.0, 3577.0)	(24.0, 5571.0)	(25.0, 8347.0)	(26.0, 12347.0)	(27.0, 18238.0)	(28.0, 24833.0)	(29.0, 34165.0)	(30.0, 47570.0)	(31.0, 70513.0)	(32.0, 112579.0)	(33.0, 206182.0)	(34.0, 494500.0)	(35.0, 1636646.0)	(36.0, 4214781.0)	(37.0, 384648.0)	
fm_3_R1	(15.0, 3.0)	(16.0, 10.0)	(17.0, 20.0)	(18.0, 43.0)	(19.0, 79.0)	(20.0, 115.0)	(21.0, 258.0)	(22.0, 482.0)	(23.0, 1286.0)	(24.0, 3322.0)	(25.0, 7746.0)	(26.0, 15967.0)	(27.0, 29732.0)	(28.0, 48517.0)	(29.0, 72347.0)	(30.0, 101104.0)	(31.0, 136158.0)	(32.0, 203799.0)	(33.0, 254041.0)	(34.0, 412795.0)	(35.0, 983923.0)	(36.0, 8529747.0)	(37.0, 870326.0)				
fm_3_R2	(12.0, 39.0)	(13.0, 452.0)	(14.0, 1074.0)	(15.0, 1083.0)	(16.0, 990.0)	(17.0, 841.0)	(18.0, 872.0)	(19.0, 981.0)	(20.0, 1372.0)	(21.0, 2250.0)	(22.0, 4157.0)	(23.0, 7091.0)	(24.0, 10670.0)	(25.0, 14750.0)	(26.0, 20131.0)	(27.0, 28195.0)	(28.0, 39210.0)	(29.0, 53932.0)	(30.0, 76380.0)	(31.0, 113593.0)	(32.0, 186312.0)	(33.0, 356059.0)	(34.0, 892632.0)	(35.0, 2840406.0)	(36.0, 6561572.0)	(37.0, 456776.0)	
fm_4_R1	(16.0, 3.0)	(17.0, 25.0)	(18.0, 72.0)	(19.0, 176.0)	(20.0, 350.0)	(21.0, 683.0)	(22.0, 1135.0)	(23.0, 1959.0)	(24.0, 3653.0)	(25.0, 7071.0)	(26.0, 12721.0)	(27.0, 22793.0)	(28.0, 36289.0)	(29.0, 54713.0)	(30.0, 74517.0)	(31.0, 98810.0)	(32.0, 128996.0)	(33.0, 182973.0)	(34.0, 294525.0)	(35.0, 797163.0)	(36.0, 5202609.0)	(37.0, 366963.0)					
fm_4_R2	(12.0, 21.0)	(13.0, 119.0)	(14.0, 298.0)	(15.0, 318.0)	(16.0, 320.0)	(17.0, 279.0)	(18.0, 266.0)	(19.0, 331.0)	(20.0, 504.0)	(21.0, 923.0)	(22.0, 1793.0)	(23.0, 3695.0)	(24.0, 6286.0)	(25.0, 9832.0)	(26.0, 14444.0)	(27.0, 20901.0)	(28.0, 28648.0)	(29.0, 39463.0)	(30.0, 55432.0)	(31.0, 82957.0)	(32.0, 134485.0)	(33.0, 249744.0)	(34.0, 601286.0)	(35.0, 1859417.0)	(36.0, 3917181.0)	(37.0, 259256.0)	
m_1_R1	(16.0, 1.0)	(17.0, 17.0)	(18.0, 43.0)	(19.0, 99.0)	(20.0, 242.0)	(21.0, 433.0)	(22.0, 935.0)	(23.0, 1692.0)	(24.0, 3211.0)	(25.0, 6165.0)	(26.0, 12025.0)	(27.0, 21555.0)	(28.0, 34869.0)	(29.0, 52566.0)	(30.0, 72632.0)	(31.0, 95199.0)	(32.0, 122354.0)	(33.0, 168276.0)	(34.0, 278986.0)	(35.0, 732137.0)	(36.0, 5038216.0)	(37.0, 351584.0)					
m_1_R2	(11.0, 2.0)	(12.0, 77.0)	(13.0, 553.0)	(14.0, 1271.0)	(15.0, 1056.0)	(16.0, 799.0)	(17.0, 600.0)	(18.0, 575.0)	(19.0, 608.0)	(20.0, 760.0)	(21.0, 1198.0)	(22.0, 2007.0)	(23.0, 3589.0)	(24.0, 5921.0)	(25.0, 8802.0)	(26.0, 12827.0)	(27.0, 18610.0)	(28.0, 25684.0)	(29.0, 35110.0)	(30.0, 49602.0)	(31.0, 73982.0)	(32.0, 119375.0)	(33.0, 216426.0)	(34.0, 493247.0)	(35.0, 1485175.0)	(36.0, 4082215.0)	(37.0, 353166.0)
m_2_R1	(16.0, 1.0)	(17.0, 10.0)	(18.0, 20.0)	(19.0, 69.0)	(20.0, 198.0)	(21.0, 346.0)	(22.0, 811.0)	(23.0, 1525.0)	(24.0, 3020.0)	(25.0, 6248.0)	(26.0, 12216.0)	(27.0, 22465.0)	(28.0, 36863.0)	(29.0, 55522.0)	(30.0, 76955.0)	(31.0, 101512.0)	(32.0, 130221.0)	(33.0, 179869.0)	(34.0, 298945.0)	(35.0, 791060.0)	(36.0, 5501024.0)	(37.0, 349554.0)					
