Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fm_1_R1	(1.0, 1.376900361890305)	(2.0, 0.6812196840344463)	(3.0, 0.5232999208413721)	(4.0, 0.3922041239415577)	(5.0, 0.2975722571705597)	(6.0, 0.2310527176624239)	(7.0, 0.19449919994091838)	(8.0, 0.15923353721676456)	(9.0, 0.1393575111633486)	('>10', 2.587556042453411)	('>50', 1.3042259467695665)	('>100', 3.0806791042225465)	('>500', 1.4598033209948764)	('>1k', 3.7895270172953377)	('>5k', 1.8666242324751166)	('>10k+', 81.91624502192745)
fm_1_R2	(1.0, 1.6688396626511983)	(2.0, 0.7999397762064261)	(3.0, 0.6127396162095311)	(4.0, 0.48023051706510667)	(5.0, 0.36970256790712275)	(6.0, 0.29395106645691504)	(7.0, 0.25357415789125265)	(8.0, 0.2150911349343513)	(9.0, 0.18461172946297877)	('>10', 3.181927528036187)	('>50', 1.2951869581578057)	('>100', 2.9053539159064408)	('>500', 1.4098831745423948)	('>1k', 3.8644136439936068)	('>5k', 2.778563000148178)	('>10k+', 79.68599155043051)
fm_2_R1	(1.0, 0.9807991867475814)	(2.0, 0.6469200320050496)	(3.0, 0.5559037368613948)	(4.0, 0.4313872492621744)	(5.0, 0.320726125483811)	(6.0, 0.2302546373546461)	(7.0, 0.1688659083950992)	(8.0, 0.13835048362859512)	(9.0, 0.11060834033695416)	('>10', 1.4996362901798697)	('>50', 0.6459571616686035)	('>100', 1.4265483492378919)	('>500', 0.5812403766863)	('>1k', 2.2430474468420036)	('>5k', 1.857360722736159)	('>10k+', 88.16239395257386)
fm_2_R2	(1.0, 1.3508012798059224)	(2.0, 0.7119092619466869)	(3.0, 0.6078861790878723)	(4.0, 0.4577615870863247)	(5.0, 0.34167606060171735)	(6.0, 0.2486441082802177)	(7.0, 0.1849172133736113)	(8.0, 0.1437352142284629)	(9.0, 0.11768032680584718)	('>10', 1.5197399786792434)	('>50', 0.6032968631093629)	('>100', 1.0185433000403568)	('>500', 0.639368692275147)	('>1k', 2.952734904048247)	('>5k', 3.0676630322806915)	('>10k+', 86.03364199835029)
fm_3_R1	(1.0, 0.9216017304175264)	(2.0, 0.5734722307026902)	(3.0, 0.5834573371360624)	(4.0, 0.5228554161133583)	(5.0, 0.4435074770718398)	(6.0, 0.36028276697031514)	(7.0, 0.2786367838757505)	(8.0, 0.21317423387681214)	(9.0, 0.1664347207741618)	('>10', 1.6931216415201387)	('>50', 0.6782968915906268)	('>100', 1.4224687686470645)	('>500', 0.6300306799883291)	('>1k', 1.8471300929220673)	('>5k', 1.2294212281581325)	('>10k+', 88.43610800023511)
fm_3_R2	(1.0, 1.4046175170044286)	(2.0, 0.6359516502622988)	(3.0, 0.6384406350801737)	(4.0, 0.5676172663047452)	(5.0, 0.4785823988872571)	(6.0, 0.3735479207082578)	(7.0, 0.29919991222157927)	(8.0, 0.22771076857214623)	(9.0, 0.1782532825454183)	('>10', 1.6653227426620918)	('>50', 0.6306836232274387)	('>100', 1.1120463781695753)	('>500', 0.5461860991904914)	('>1k', 2.7238464038910735)	('>5k', 2.199606249630034)	('>10k+', 86.318387151643)
fm_4_R1	(1.0, 1.501900339908146)	(2.0, 0.9096460743490076)	(3.0, 0.7049506964177418)	(4.0, 0.5007920858813092)	(5.0, 0.3779929703174166)	(6.0, 0.2775642645993165)	(7.0, 0.22924651013351868)	(8.0, 0.20024052159105585)	(9.0, 0.16653877269064407)	('>10', 2.840727305227212)	('>50', 1.4250518588069372)	('>100', 3.4650989693492553)	('>500', 1.4256720637804503)	('>1k', 3.931479327098203)	('>5k', 2.0554281938854375)	('>10k+', 79.98767004596435)
fm_4_R2	(1.0, 1.9550952068354717)	(2.0, 1.0332244098111796)	(3.0, 0.7928158792522187)	(4.0, 0.5900805173940521)	(5.0, 0.45402654907815787)	(6.0, 0.3559361158265809)	(7.0, 0.2841108003443489)	(8.0, 0.2481069894338433)	(9.0, 0.214021912363232)	('>10', 3.4583289829249546)	('>50', 1.5186753199032532)	('>100', 3.3698691565449717)	('>500', 1.7328793656522945)	('>1k', 3.3118518187329213)	('>5k', 2.179456735364916)	('>10k+', 78.5015202405376)
m_1_R1	(1.0, 1.6441200434627035)	(2.0, 0.9000890005560428)	(3.0, 0.6094861097006956)	(4.0, 0.42016462486661516)	(5.0, 0.30499321714654243)	(6.0, 0.24023704114410066)	(7.0, 0.20453375775069532)	(8.0, 0.16973092669689518)	(9.0, 0.15728505324803113)	('>10', 2.6572750663017586)	('>50', 1.2820710994615225)	('>100', 2.8836944831283127)	('>500', 1.1931741750388873)	('>1k', 3.6880594677256933)	('>5k', 1.9854077156541743)	('>10k+', 81.65967821811732)
m_1_R2	(1.0, 2.1542609572042064)	(2.0, 1.054933610895088)	(3.0, 0.7122365558196194)	(4.0, 0.5228638403562764)	(5.0, 0.38320996945548264)	(6.0, 0.3044242840800457)	(7.0, 0.2604458416903078)	(8.0, 0.2192182038172888)	(9.0, 0.1967210358830785)	('>10', 3.0817890855809087)	('>50', 1.1940880820788713)	('>100', 2.609723162147905)	('>500', 1.5955529494653713)	('>1k', 4.028625812130769)	('>5k', 2.281440345166316)	('>10k+', 79.40046626422847)
m_2_R1	(1.0, 1.2732518631647312)	(2.0, 0.6694011711265644)	(3.0, 0.4751839149612085)	(4.0, 0.3381320194720486)	(5.0, 0.2507215023200917)	(6.0, 0.19387142549696407)	(7.0, 0.15524334632862627)	(8.0, 0.13750168860311723)	(9.0, 0.12401967252143936)	('>10', 2.028051002322917)	('>50', 0.9198956262969645)	('>100', 2.130660479477856)	('>500', 0.7858093248317736)	('>1k', 2.387994881360953)	('>5k', 1.7654078043305317)	('>10k+', 86.36485427738421)
m_2_R2	(1.0, 1.7467249023898486)	(2.0, 0.800023450502325)	(3.0, 0.5642303600336168)	(4.0, 0.40267266062184864)	(5.0, 0.3022112895094943)	(6.0, 0.24136235931321573)	(7.0, 0.1954118035253493)	(8.0, 0.16925504945853004)	(9.0, 0.15063995797061291)	('>10', 2.3239844865178516)	('>50', 0.8232756261613565)	('>100', 1.6458076485313413)	('>500', 0.9444166509592606)	('>1k', 2.6640136971450965)	('>5k', 2.514549335079415)	('>10k+', 84.51142072228083)
m_3_R1	(1.0, 1.7874668761394992)	(2.0, 0.9987116757299958)	(3.0, 0.767910939566201)	(4.0, 0.5781347241671435)	(5.0, 0.46696063303343427)	(6.0, 0.388991888020797)	(7.0, 0.3209888223469111)	(8.0, 0.2804705563489345)	(9.0, 0.27229120324783523)	('>10', 4.6416385278997465)	('>50', 2.3219120679811187)	('>100', 4.965873910484948)	('>500', 2.0325081385788337)	('>1k', 3.9115781003820445)	('>5k', 2.048330689859239)	('>10k+', 74.21623124621331)
m_3_R2	(1.0, 2.4318846182845313)	(2.0, 1.2079831366547347)	(3.0, 0.9699794491392371)	(4.0, 0.7606196717635807)	(5.0, 0.6099454620399363)	(6.0, 0.501881883895646)	(7.0, 0.45752567489087526)	(8.0, 0.3910276012965753)	(9.0, 0.3542099731686771)	('>10', 5.892846754928697)	('>50', 2.275835860989363)	('>100', 4.05999049054104)	('>500', 1.487474899688805)	('>1k', 4.113714526416249)	('>5k', 3.137141209479998)	('>10k+', 71.34793878682206)
