Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fm_1_R1	97.68316425984122	41.0	150.0	150	45.45454545454545	10.930276
fm_1_R2	97.20301922068532	42.0	150.0	150	45.45454545454545	10.930276
fm_2_R1	98.14998893955288	44.0	150.0	150	45.45454545454545	7.281898999999999
fm_2_R2	97.71425446148595	44.0	150.0	150	45.45454545454545	7.281898999999999
fm_3_R1	98.12333039125157	44.0	150.0	150	45.45454545454545	11.67182
fm_3_R2	97.56535639441353	44.0	150.0	150	45.45454545454545	11.67182
fm_4_R1	97.30206185872684	41.0	150.0	150	45.45454545454545	7.288199
fm_4_R2	96.6531869450195	42.0	150.0	150	45.45454545454545	7.288199
m_1_R1	97.25988320246286	41.0	150.0	150	45.45454545454545	6.993237
m_1_R2	96.54389340243638	42.0	150.0	150	45.45454545454545	6.993237
m_2_R1	97.88622649272928	40.0	150.0	150	45.45454545454545	7.568454
m_2_R2	97.25412514482841	42.0	150.0	150	45.45454545454545	7.568454
m_3_R1	96.7499520050045	40.0	150.0	150	45.45454545454545	7.446738
m_3_R2	95.7361822818929	41.0	150.0	150	45.45454545454545	7.446738
