"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00001",184.354080617461,237.380758180518,88.4581011006309,122.507132541619,99.9750088210678,204.157514198399,343.93197252559
"SAOUHSC_00002",226.626353880063,255.442337607297,73.9017047169828,195.059900357529,174.268364000026,126.206463322646,245.616757271761
"SAOUHSC_00003",28.7686304148266,72.2463177071143,80.6200415094358,39.2498579987711,88.0513839158028,37.1195480360725,73.650771008966
"SAOUHSC_00004",953.474608034255,2742.77984723794,768.129839937124,1295.24531395945,2068.29032010558,1123.48498722513,1495.62449407044
"SAOUHSC_00005",2083.67080290244,3163.35662531865,2313.34730220131,1468.8962008631,2440.67429791616,2005.69291221578,3055.65059255803
"SAOUHSC_00006",3636.58973039666,3940.00454067012,1437.72407358494,2821.23221736621,3764.19666240057,2979.46238902875,2631.90173796226
"SAOUHSC_00007",56.3630310168032,85.1474458690989,47.0283575471709,79.6891056338686,20.1784421473715,40.8315028396797,27.4049380498478
"SAOUHSC_00008",144.430266980558,67.0858664423204,64.9439223270455,381.794073260773,113.733037557912,100.222779697396,113.387931181245
"SAOUHSC_00009",1099.66621973409,350.910686005984,218.345945754722,509.058764347698,954.807194336987,217.768015144959,213.073393337567
"SAOUHSC_00010",22.3103664441513,0,35.8311295597492,16.6514549085695,58.7009226105352,148.47819214429,63.7164809658961
"SAOUHSC_00012",4.10980434497523,5.16045126479387,40.3100207547179,4.75755854530559,42.1912881263222,189.30969498397,49.6714502153491
"SAOUHSC_00013",75.1507080224043,56.7649639127326,31.3522383647806,40.4392476350975,42.1912881263222,210.344105537744,48.6437650384798
"SAOUHSC_00014",113.313176940031,95.4683483986867,103.014497484279,111.802625814681,102.726614568437,138.579646001337,69.5400303014888
"SAOUHSC_00015",492.002291584178,459.280162566655,829.714593867943,758.830587976241,615.44248549483,496.164625415502,486.780212110421
"SAOUHSC_00017",91.5899254023052,234.800532548121,206.028994968558,109.423846542028,88.9685858315924,69.2898230006686,152.439967902278
"SAOUHSC_00018",1012.77321358318,722.463177071143,795.003187106936,893.231616881124,1190.52808669492,741.15364245358,1335.30560647883
"SAOUHSC_00019",45.2078477947276,20.6418050591755,242.979847327049,49.9543647257087,20.1784421473715,131.155736394123,192.862251525804
"SAOUHSC_T00018",7.63249378352544,0,1.11972279874216,2.37877927265279,4.58600957894806,3.71195480360725,0.685123451246195
"SAOUHSC_00020",54.6016862975281,946.942807089676,223.944559748433,304.483746899557,721.837907726425,420.688211075488,718.351938631635
"SAOUHSC_00021",1060.32952100361,1690.04778921999,1192.5047806604,3301.74563044208,1848.16186031607,1672.854298159,1928.96507698366
"SAOUHSC_00022",1224.13457989619,4381.22312381,3152.01967845919,4699.27845312559,2628.70069065303,2301.41197823649,2735.01281737481
"SAOUHSC_00023",570.088574138708,1682.3071123228,1584.40776022016,1115.64747887416,1155.67441389491,1546.64783483635,1304.81761289838
"SAOUHSC_00024",70.453788771004,72.2463177071143,41.4297435534601,11.893896363264,18.3440383157923,0,21.238826988632
"SAOUHSC_00025",62.2341800810536,15.4813537943816,38.0705751572336,28.5453512718335,22.9300478947403,17.3224557501672,10.619413494316
"SAOUHSC_00026",1.17422981285007,0,0,0,2.75160574736884,30.9329566967271,5.48098760996956
