Sample	Unique Reads	Duplicate Reads
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	647053.0	322196.0
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	678538.0	290711.0
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	517197.0	111973.0
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	530135.0	99035.0
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	368936.0	122669.0
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	385788.0	105817.0
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	329008.0	89453.0
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	342996.0	75465.0
SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	450918.0	154463.0
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	411985.0	128657.0
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	427085.0	113557.0
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	499495.0	195234.0
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	516240.0	178489.0
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	345442.0	152264.0
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	361279.0	136427.0
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	403593.0	158427.0
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	419079.0	142941.0
SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	407129.0	98370.0
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	445930.0	151712.0
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	461379.0	136263.0
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	435327.0	133419.0
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	454573.0	114173.0
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	447081.0	145032.0
SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	397728.0	110914.0
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	400948.0	116047.0
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	419559.0	97436.0
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	401338.0	108597.0
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	426815.0	83120.0
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	464845.0	158881.0
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	492416.0	131310.0
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	466872.0	170542.0
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	487109.0	150305.0
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	479756.0	164540.0
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	506605.0	137691.0
SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	512851.0	163502.0
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	519312.0	196838.0
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	555319.0	160831.0
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	714110.0	389205.0
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	754113.0	349202.0
SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	656330.0	257751.0
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	573725.0	259325.0
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	590530.0	242520.0
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	860056.0	488872.0
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	902746.0	446182.0
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	551473.0	229942.0
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	578606.0	202809.0
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	338603.0	76623.0
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	351243.0	63983.0
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	555724.0	229130.0
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	586520.0	198334.0
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	491873.0	173543.0
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	509664.0	155752.0
SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	652685.0	287884.0
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	657743.0	314268.0
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	699490.0	272521.0
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	695750.0	357427.0
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	722030.0	331147.0
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	513070.0	203601.0
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	535279.0	181392.0
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	387168.0	115165.0
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	407698.0	94635.0
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	476804.0	186306.0
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	506739.0	156371.0
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	419092.0	150517.0
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	450635.0	118974.0
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	496243.0	215474.0
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	527521.0	184196.0
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	358632.0	88870.0
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	371048.0	76454.0
SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	483350.0	190839.0
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	673065.0	350069.0
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	701108.0	322026.0
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	679582.0	358883.0
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	718384.0	320081.0
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	630547.0	305385.0
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	667635.0	268297.0
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	592819.0	279026.0
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	631759.0	240086.0
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	439997.0	145774.0
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	462412.0	123359.0
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	397227.0	121800.0
