Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 49.79593362816267)	(2.0, 20.55471409373732)	(3.0, 10.42415554963801)	(4.0, 5.8631169150345785)	(5.0, 3.5972462919421293)	(6.0, 2.1899666404959928)	(7.0, 1.4942509153160692)	(8.0, 0.9714041309959582)	(9.0, 0.7059383577230199)	('>10', 3.703065094092738)	('>50', 0.4964832948677923)	('>100', 0.05842798426526323)	('>500', 0.0)	('>1k', 0.14529710372843238)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 54.30716845091963)	(2.0, 19.266121671522477)	(3.0, 9.629107337013883)	(4.0, 5.402827569635164)	(5.0, 3.172587296696621)	(6.0, 1.869506071724124)	(7.0, 1.3022511708748703)	(8.0, 0.857436959235458)	(9.0, 0.573427004331179)	('>10', 3.054684786667666)	('>50', 0.3833570550856745)	('>100', 0.036676859609615885)	('>500', 0.0)	('>1k', 0.14484776668360977)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 71.3010422067246)	(2.0, 15.695458714732528)	(3.0, 5.468974001133744)	(4.0, 2.4540402509360035)	(5.0, 1.2646552954681705)	(6.0, 0.6911772224462404)	(7.0, 0.49201462592718787)	(8.0, 0.3071163188734366)	(9.0, 0.2405443377977528)	('>10', 1.9001599941753353)	('>50', 0.1471867598493959)	('>100', 0.03763027193560607)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 74.53813404053545)	(2.0, 14.025328203151432)	(3.0, 4.922418483464829)	(4.0, 2.155164196748047)	(5.0, 1.0927393657880555)	(6.0, 0.5952999263194462)	(7.0, 0.3905893061197147)	(8.0, 0.2601979264001358)	(9.0, 0.20054183507301512)	('>10', 1.6532396817226718)	('>50', 0.13012246552113096)	('>100', 0.03622456915606576)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 60.82873539439797)	(2.0, 19.266117743839416)	(3.0, 7.935997543681833)	(4.0, 3.807897331873621)	(5.0, 1.9983610500318876)	(6.0, 1.1616567580323434)	(7.0, 0.7198826664922024)	(8.0, 0.5233231218542022)	(9.0, 0.3884676386967291)	('>10', 2.960251411581977)	('>50', 0.3530699114193757)	('>100', 0.05623942809842845)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 65.84340642703111)	(2.0, 17.509092262785128)	(3.0, 6.808255705368387)	(4.0, 3.1497643972209435)	(5.0, 1.678183989082201)	(6.0, 0.997682053739307)	(7.0, 0.6100384942718785)	(8.0, 0.3857427797938632)	(9.0, 0.28641561817933187)	('>10', 2.433271443868885)	('>50', 0.2507929015440537)	('>100', 0.0473539271148821)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 65.118497740644)	(2.0, 19.37347606419965)	(3.0, 7.031556020063843)	(4.0, 3.179791099280447)	(5.0, 1.4827187763266956)	(6.0, 0.7418512464232971)	(7.0, 0.5040258090855305)	(8.0, 0.3483530965484035)	(9.0, 0.2440069067991101)	('>10', 1.8687109336156575)	('>50', 0.08169243080039643)	('>100', 0.025319876212988368)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 70.31440988922236)	(2.0, 16.947206594846893)	(3.0, 5.947638391236382)	(4.0, 2.573194957840291)	(5.0, 1.2161350707984757)	(6.0, 0.6378814011408036)	(7.0, 0.3631631433932532)	(8.0, 0.25699942501665457)	(9.0, 0.20777648575043695)	('>10', 1.4757078136240784)	('>50', 0.059886827130377775)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 59.96927320531439)	(2.0, 19.259209379934013)	(3.0, 8.410337842761423)	(4.0, 4.097608976748429)	(5.0, 2.2609832426386194)	(6.0, 1.2462968241042993)	(7.0, 0.8272041000073865)	(8.0, 0.5514535024689637)	(9.0, 0.419675593627931)	('>10', 2.688600593607528)	('>50', 0.22000767941370633)	('>100', 0.049349059373366984)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 61.263442361428176)	(2.0, 20.709754678064414)	(3.0, 8.388842489234902)	(4.0, 3.831536170137559)	(5.0, 1.909642453977401)	(6.0, 1.109253220605027)	(7.0, 0.5949994706293568)	(8.0, 0.43040770974017895)	(9.0, 0.27883604020019714)	('>10', 1.4038219152266405)	('>50', 0.042503727613749785)	('>100', 0.03695976314239111)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
