Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 5472.0)	(40, 11267.0)	(50, 12395.0)	(60, 13066.0)	(70, 13027.0)	(80, 12989.0)	(90, 12803.0)	(100, 13042.0)	(110, 13196.0)	(120, 13265.0)	(130, 13665.0)	(140, 13905.0)	(150, 14818.0)	(160, 15609.0)	(170, 16304.0)	(180, 17761.0)	(190, 18769.0)	(200, 20310.0)	(210, 22053.0)	(220, 23536.0)	(230, 24954.0)	(240, 26182.0)	(250, 27468.0)	(260, 27705.0)	(270, 28139.0)	(280, 28290.0)	(290, 61064.0)	(300, 448195.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 5446.0)	(40, 11238.0)	(50, 12372.0)	(60, 13031.0)	(70, 13004.0)	(80, 12953.0)	(90, 12768.0)	(100, 12978.0)	(110, 13125.0)	(120, 13214.0)	(130, 13593.0)	(140, 13820.0)	(150, 14691.0)	(160, 15472.0)	(170, 16105.0)	(180, 17485.0)	(190, 18346.0)	(200, 19680.0)	(210, 21308.0)	(220, 22460.0)	(230, 23668.0)	(240, 24527.0)	(250, 25501.0)	(260, 29830.0)	(270, 29350.0)	(280, 23667.0)	(290, 48506.0)	(300, 471111.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 829.0)	(40, 1649.0)	(50, 1894.0)	(60, 2046.0)	(70, 2205.0)	(80, 2335.0)	(90, 2432.0)	(100, 2654.0)	(110, 2865.0)	(120, 3137.0)	(130, 3401.0)	(140, 3756.0)	(150, 4174.0)	(160, 4825.0)	(170, 5256.0)	(180, 5998.0)	(190, 6848.0)	(200, 7492.0)	(210, 8456.0)	(220, 9495.0)	(230, 10432.0)	(240, 11458.0)	(250, 12317.0)	(260, 13554.0)	(270, 14582.0)	(280, 15605.0)	(290, 47576.0)	(300, 421899.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 819.0)	(40, 1644.0)	(50, 1883.0)	(60, 2041.0)	(70, 2205.0)	(80, 2333.0)	(90, 2432.0)	(100, 2650.0)	(110, 2855.0)	(120, 3118.0)	(130, 3396.0)	(140, 3752.0)	(150, 4153.0)	(160, 4773.0)	(170, 5201.0)	(180, 5946.0)	(190, 6750.0)	(200, 7370.0)	(210, 8288.0)	(220, 9232.0)	(230, 10074.0)	(240, 10940.0)	(250, 11605.0)	(260, 12623.0)	(270, 13279.0)	(280, 13956.0)	(290, 40259.0)	(300, 435593.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 467.0)	(40, 852.0)	(50, 930.0)	(60, 1079.0)	(70, 1187.0)	(80, 1425.0)	(90, 1607.0)	(100, 1729.0)	(110, 1975.0)	(120, 2304.0)	(130, 2564.0)	(140, 2869.0)	(150, 3367.0)	(160, 3950.0)	(170, 4496.0)	(180, 5081.0)	(190, 5696.0)	(200, 6432.0)	(210, 7056.0)	(220, 7761.0)	(230, 8380.0)	(240, 9028.0)	(250, 9763.0)	(260, 10101.0)	(270, 10880.0)	(280, 11180.0)	(290, 36292.0)	(300, 333154.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 450.0)	(40, 851.0)	(50, 933.0)	(60, 1071.0)	(70, 1180.0)	(80, 1422.0)	(90, 1605.0)	(100, 1724.0)	(110, 1966.0)	(120, 2294.0)	(130, 2555.0)	(140, 2863.0)	(150, 3365.0)	(160, 3927.0)	(170, 4473.0)	(180, 5060.0)	(190, 5649.0)	(200, 6366.0)	(210, 6942.0)	(220, 7627.0)	(230, 8206.0)	(240, 8785.0)	(250, 9457.0)	(260, 9654.0)	(270, 10288.0)	(280, 10493.0)	(290, 32730.0)	(300, 339669.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 146.0)	(40, 298.0)	(50, 353.0)	(60, 441.0)	(70, 469.0)	(80, 551.0)	(90, 620.0)	(100, 696.0)	(110, 860.0)	(120, 1017.0)	(130, 1186.0)	(140, 1425.0)	(150, 1673.0)	(160, 1937.0)	(170, 2428.0)	(180, 2694.0)	(190, 3264.0)	(200, 3698.0)	(210, 4225.0)	(220, 4868.0)	(230, 5376.0)	(240, 5889.0)	(250, 6535.0)	(260, 7142.0)	(270, 7649.0)	(280, 8349.0)	(290, 31701.0)	(300, 312971.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 137.0)	(40, 288.0)	(50, 347.0)	(60, 434.0)	(70, 465.0)	(80, 555.0)	(90, 615.0)	(100, 692.0)	(110, 864.0)	(120, 1018.0)	(130, 1179.0)	(140, 1424.0)	(150, 1669.0)	(160, 1928.0)	(170, 2411.0)	(180, 2677.0)	(190, 3232.0)	(200, 3651.0)	(210, 4170.0)	(220, 4788.0)	(230, 5248.0)	(240, 5722.0)	(250, 6276.0)	(260, 6827.0)	(270, 7188.0)	(280, 7828.0)	(290, 28746.0)	(300, 318082.0)
SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 721.0)	(40, 1505.0)	(50, 1802.0)	(60, 1956.0)	(70, 2201.0)	(80, 2394.0)	(90, 2700.0)	(100, 3115.0)	(110, 3547.0)	(120, 3945.0)	(130, 4331.0)	(140, 5067.0)	(150, 5715.0)	(160, 6588.0)	(170, 7505.0)	(180, 8544.0)	(190, 9792.0)	(200, 10864.0)	(210, 12165.0)	(220, 13375.0)	(230, 14532.0)	(240, 15489.0)	(250, 16522.0)	(260, 17365.0)	(270, 17772.0)	(280, 18330.0)	(290, 40656.0)	(300, 356883.0)
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 761.0)	(40, 1504.0)	(50, 1703.0)	(60, 1964.0)	(70, 2037.0)	(80, 2366.0)	(90, 2560.0)	(100, 2694.0)	(110, 3067.0)	(120, 3352.0)	(130, 3876.0)	(140, 4274.0)	(150, 4775.0)	(160, 5249.0)	(170, 6086.0)	(180, 6773.0)	(190, 7528.0)	(200, 8407.0)	(210, 9374.0)	(220, 10244.0)	(230, 11021.0)	(240, 11795.0)	(250, 12814.0)	(260, 13328.0)	(270, 14057.0)	(280, 14719.0)	(290, 39129.0)	(300, 335185.0)
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 747.0)	(40, 1496.0)	(50, 1701.0)	(60, 1961.0)	(70, 2026.0)	(80, 2366.0)	(90, 2552.0)	(100, 2686.0)	(110, 3062.0)	(120, 3338.0)	(130, 3865.0)	(140, 4264.0)	(150, 4747.0)	(160, 5228.0)	(170, 6061.0)	(180, 6717.0)	(190, 7465.0)	(200, 8305.0)	(210, 9264.0)	(220, 10084.0)	(230, 10793.0)	(240, 11495.0)	(250, 12409.0)	(260, 12747.0)	(270, 13290.0)	(280, 13841.0)	(290, 35559.0)	(300, 342573.0)
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 634.0)	(40, 1493.0)	(50, 1757.0)	(60, 1905.0)	(70, 2180.0)	(80, 2446.0)	(90, 2719.0)	(100, 3092.0)	(110, 3481.0)	(120, 3993.0)	(130, 4544.0)	(140, 5100.0)	(150, 5816.0)	(160, 6800.0)	(170, 7676.0)	(180, 8818.0)	(190, 9971.0)	(200, 11237.0)	(210, 12589.0)	(220, 13823.0)	(230, 15374.0)	(240, 16576.0)	(250, 17593.0)	(260, 18824.0)	(270, 19746.0)	(280, 20258.0)	(290, 51181.0)	(300, 425103.0)
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 616.0)	(40, 1487.0)	(50, 1755.0)	(60, 1902.0)	(70, 2173.0)	(80, 2445.0)	(90, 2715.0)	(100, 3078.0)	(110, 3475.0)	(120, 3981.0)	(130, 4526.0)	(140, 5086.0)	(150, 5799.0)	(160, 6787.0)	(170, 7650.0)	(180, 8777.0)	(190, 9904.0)	(200, 11139.0)	(210, 12458.0)	(220, 13613.0)	(230, 15151.0)	(240, 16244.0)	(250, 17138.0)	(260, 18183.0)	(270, 18823.0)	(280, 19159.0)	(290, 46964.0)	(300, 433701.0)
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 186.0)	(40, 450.0)	(50, 528.0)	(60, 600.0)	(70, 638.0)	(80, 744.0)	(90, 870.0)	(100, 1016.0)	(110, 1137.0)	(120, 1321.0)	(130, 1551.0)	(140, 1822.0)	(150, 2097.0)	(160, 2573.0)	(170, 3027.0)	(180, 3719.0)	(190, 4154.0)	(200, 4781.0)	(210, 5435.0)	(220, 6227.0)	(230, 6812.0)	(240, 7636.0)	(250, 8508.0)	(260, 9229.0)	(270, 9785.0)	(280, 10529.0)	(290, 36017.0)	(300, 366314.0)
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 180.0)	(40, 448.0)	(50, 525.0)	(60, 599.0)	(70, 638.0)	(80, 738.0)	(90, 863.0)	(100, 1011.0)	(110, 1133.0)	(120, 1312.0)	(130, 1544.0)	(140, 1812.0)	(150, 2077.0)	(160, 2552.0)	(170, 3003.0)	(180, 3672.0)	(190, 4091.0)	(200, 4699.0)	(210, 5330.0)	(220, 6034.0)	(230, 6546.0)	(240, 7316.0)	(250, 8052.0)	(260, 8671.0)	(270, 8981.0)	(280, 9583.0)	(290, 32147.0)	(300, 374149.0)
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 626.0)	(40, 1330.0)	(50, 1499.0)	(60, 1730.0)	(70, 1919.0)	(80, 2168.0)	(90, 2445.0)	(100, 2622.0)	(110, 3132.0)	(120, 3390.0)	(130, 3877.0)	(140, 4537.0)	(150, 5240.0)	(160, 5840.0)	(170, 6583.0)	(180, 7318.0)	(190, 8312.0)	(200, 9138.0)	(210, 9815.0)	(220, 10670.0)	(230, 11400.0)	(240, 12090.0)	(250, 12845.0)	(260, 13407.0)	(270, 13756.0)	(280, 14253.0)	(290, 40287.0)	(300, 351791.0)
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 622.0)	(40, 1323.0)	(50, 1498.0)	(60, 1723.0)	(70, 1916.0)	(80, 2167.0)	(90, 2438.0)	(100, 2619.0)	(110, 3127.0)	(120, 3385.0)	(130, 3876.0)	(140, 4518.0)	(150, 5227.0)	(160, 5825.0)	(170, 6574.0)	(180, 7280.0)	(190, 8253.0)	(200, 9058.0)	(210, 9712.0)	(220, 10511.0)	(230, 11211.0)	(240, 11833.0)	(250, 12476.0)	(260, 12911.0)	(270, 13130.0)	(280, 13541.0)	(290, 36309.0)	(300, 358957.0)
SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 245.0)	(40, 521.0)	(50, 525.0)	(60, 594.0)	(70, 702.0)	(80, 770.0)	(90, 898.0)	(100, 981.0)	(110, 1110.0)	(120, 1237.0)	(130, 1497.0)	(140, 1700.0)	(150, 2028.0)	(160, 2449.0)	(170, 2827.0)	(180, 3319.0)	(190, 3973.0)	(200, 4354.0)	(210, 5144.0)	(220, 5833.0)	(230, 6556.0)	(240, 7317.0)	(250, 7829.0)	(260, 8621.0)	(270, 9273.0)	(280, 9729.0)	(290, 35080.0)	(300, 380387.0)
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 783.0)	(40, 1534.0)	(50, 1928.0)	(60, 2088.0)	(70, 2200.0)	(80, 2421.0)	(90, 2582.0)	(100, 2910.0)	(110, 3219.0)	(120, 3543.0)	(130, 4067.0)	(140, 4537.0)	(150, 5132.0)	(160, 5987.0)	(170, 6822.0)	(180, 7706.0)	(190, 8597.0)	(200, 9955.0)	(210, 10866.0)	(220, 12041.0)	(230, 13178.0)	(240, 14343.0)	(250, 15337.0)	(260, 16503.0)	(270, 17257.0)	(280, 17948.0)	(290, 44454.0)	(300, 359704.0)
