Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	969249.0	237.9 Mbp	0.0	35-301	41.0	66.75811805530425	245.43809485488248	294	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	969249.0	238.7 Mbp	0.0	35-301	41.0	70.00649336979092	246.2373053776687	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	629170.0	174.6 Mbp	0.0	35-301	46.0	82.20297256869041	277.5230676923566	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	629170.0	174.9 Mbp	0.0	35-301	46.0	84.25940257698338	278.0400201853235	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	491605.0	137 Mbp	0.0	35-301	41.0	75.04708922463635	278.72504042879956	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	491605.0	137.2 Mbp	0.0	35-301	41.0	78.47518476248986	279.05405966172026	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418461.0	120 Mbp	0.0	35-301	40.0	78.62313977587002	286.8255010622256	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418461.0	120.1 Mbp	0.0	35-301	40.0	81.96600093850407	287.1042164024843	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	605381.0	163.5 Mbp	0.0	35-301	41.0	74.48490060889418	270.155677168593	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	540642.0	147.2 Mbp	0.0	35-301	40.0	76.20289192626325	272.30045297997566	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	540642.0	147.4 Mbp	0.0	35-301	40.0	78.99587333434509	272.6789511358718	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694729.0	189.9 Mbp	0.0	35-301	40.0	71.89768902610567	273.2738808945646	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694729.0	190.1 Mbp	0.0	35-301	40.0	74.3081103009595	273.5989097907242	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497706.0	142.1 Mbp	0.0	35-301	42.0	69.40664389393802	285.4899639546238	301	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497706.0	142.3 Mbp	0.0	35-301	42.0	72.58879773894876	285.8999801087389	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	562020.0	153.3 Mbp	0.0	35-301	41.0	71.81101437979252	272.8504706238212	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	562020.0	153.5 Mbp	0.0	35-301	41.0	74.56647711169305	273.15969271556173	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	505499.0	144.8 Mbp	0.0	35-301	40.0	80.53987096723237	286.3888969117644	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597642.0	162.5 Mbp	0.0	35-301	40.0	74.6148415619566	271.84666572965085	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597642.0	162.9 Mbp	0.0	35-301	41.0	77.1998610371628	272.6043291803454	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	568746.0	139.5 Mbp	0.0	35-301	40.0	76.54147628540149	245.32121456678377	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	568746.0	141.5 Mbp	0.0	35-301	41.0	79.92536412255927	249.0385655459555	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	592113.0	159.2 Mbp	0.0	35-301	40.0	75.50592468912608	268.8817751003609	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	508642.0	143.6 Mbp	0.0	35-301	40.0	78.19405001630284	282.30036351697265	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	516995.0	143.5 Mbp	0.0	35-301	40.0	77.55340254366392	277.5359365177613	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	516995.0	143.8 Mbp	0.0	35-301	40.0	81.15330025580356	278.1181994023153	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	509935.0	144.1 Mbp	0.0	35-301	40.0	78.703702369088	282.5413768421466	301	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	509935.0	144.5 Mbp	0.0	35-301	40.0	83.6997048782153	283.42365105356566	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	623726.0	172.3 Mbp	0.0	35-301	40.0	74.52703611780167	276.17328602623587	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	623726.0	172.7 Mbp	0.0	35-301	41.0	78.94747932718086	276.83226689283435	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	637414.0	156.8 Mbp	0.0	35-301	41.0	73.24462754122791	245.94540439965235	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	637414.0	157.3 Mbp	0.0	35-301	41.0	76.41946119732488	246.94481530057388	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644296.0	177.5 Mbp	0.0	35-301	40.0	74.46199887035593	275.57252334330803	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644296.0	177.9 Mbp	0.0	35-301	40.0	78.62920416233098	276.11370239765574	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676353.0	170.2 Mbp	0.0	35-301	41.0	75.82584714559275	251.75431616330525	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716150.0	180.3 Mbp	0.0	35-301	40.0	72.51433608171807	251.8113998464009	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	716150.0	181.3 Mbp	0.0	35-301	41.0	77.54221566271649	253.15151783844166	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1103315.0	263.4 Mbp	0.0	35-301	41.0	64.72402005753972	238.74182350462016	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1103315.0	264.7 Mbp	0.0	35-301	41.0	68.34970507690966	239.95804688597545	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	914081.0	231 Mbp	0.0	35-301	41.0	71.80207229949119	252.67831242526648	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	833050.0	203.8 Mbp	0.0	35-301	41.0	68.87034236462422	244.62074065182162	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	833050.0	204.1 Mbp	0.0	35-301	41.0	70.88759257132112	245.09362223155873	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1348928.0	292.3 Mbp	0.0	35-301	40.0	63.758406794390154	216.70846739040186	244	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1348928.0	294.2 Mbp	0.0	35-301	40.0	66.92314701367118	218.1043065308156	244	pass	fail	fail	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	781415.0	194.9 Mbp	0.0	35-301	41.0	70.57351775330471	249.4220849356616	294	pass	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	781415.0	195.7 Mbp	0.0	35-301	41.0	74.0458807102018	250.3999660871624	301	pass	fail	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	415226.0	116.6 Mbp	0.0	35-301	40.0	81.54657460162076	280.9367994778747	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	415226.0	117.5 Mbp	0.0	35-301	40.0	84.59071014876099	283.1888742516124	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784854.0	190.2 Mbp	0.0	35-301	41.0	70.80602868831919	242.40081594793426	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784854.0	191.4 Mbp	0.0	35-301	41.0	74.72972247967937	243.93248744352454	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	665416.0	160.8 Mbp	0.0	35-301	41.0	73.91957642783596	241.60133886170456	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	665416.0	161.5 Mbp	0.0	35-301	41.0	76.59317939245301	242.77020765956937	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	940569.0	244.6 Mbp	0.0	35-301	41.0	69.39248110291037	260.0788262211491	301	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
