Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	33.24188194469575	41.0	245.43809485488248	294	9.090909090909092	0.9692489999999999
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	29.993506630209083	41.0	246.2373053776687	294	9.090909090909092	0.9692489999999999
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	17.797027431309587	46.0	277.5230676923566	301	18.181818181818183	0.62917
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	15.740597423016624	46.0	278.0400201853235	301	18.181818181818183	0.62917
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.952910775363648	41.0	278.72504042879956	301	9.090909090909092	0.49160499999999996
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.52481523751014	41.0	279.05405966172026	301	9.090909090909092	0.49160499999999996
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	21.376860224129985	40.0	286.8255010622256	301	9.090909090909092	0.41846099999999997
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	18.033999061495933	40.0	287.1042164024843	301	9.090909090909092	0.41846099999999997
SRR27013248_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.51509939110582	41.0	270.155677168593	301	9.090909090909092	0.605381
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.79710807373675	40.0	272.30045297997566	301	9.090909090909092	0.540642
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.00412666565491	40.0	272.6789511358718	301	9.090909090909092	0.540642
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.102310973894333	40.0	273.2738808945646	301	9.090909090909092	0.6947289999999999
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.6918896990405	40.0	273.5989097907242	301	9.090909090909092	0.6947289999999999
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	30.593356106061975	42.0	285.4899639546238	301	18.181818181818183	0.497706
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	27.411202261051244	42.0	285.8999801087389	301	18.181818181818183	0.497706
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.188985620207475	41.0	272.8504706238212	301	9.090909090909092	0.56202
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.433522888306953	41.0	273.15969271556173	301	9.090909090909092	0.56202
SRR27013253_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	19.460129032767625	40.0	286.3888969117644	301	9.090909090909092	0.505499
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	25.385158438043405	40.0	271.84666572965085	301	9.090909090909092	0.597642
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	22.800138962837195	41.0	272.6043291803454	301	9.090909090909092	0.597642
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.458523714598513	40.0	245.32121456678377	294	9.090909090909092	0.568746
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	20.074635877440727	41.0	249.0385655459555	301	9.090909090909092	0.568746
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.494075310873924	40.0	268.8817751003609	301	9.090909090909092	0.592113
SRR27013257_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	21.80594998369716	40.0	282.30036351697265	301	9.090909090909092	0.5086419999999999
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	22.44659745633608	40.0	277.5359365177613	301	9.090909090909092	0.516995
SRR27013258_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	18.846699744196442	40.0	278.1181994023153	301	9.090909090909092	0.516995
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	21.296297630911994	40.0	282.5413768421466	301	9.090909090909092	0.509935
SRR27013259_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	16.3002951217847	40.0	283.42365105356566	301	9.090909090909092	0.509935
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	25.47296388219833	40.0	276.17328602623587	301	9.090909090909092	0.623726
SRR27013260_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.052520672819142	41.0	276.83226689283435	301	9.090909090909092	0.623726
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	26.755372458772086	41.0	245.94540439965235	294	9.090909090909092	0.6374139999999999
SRR27013261_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.58053880267512	41.0	246.94481530057388	301	9.090909090909092	0.6374139999999999
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	25.538001129644073	40.0	275.57252334330803	301	9.090909090909092	0.644296
SRR27013262_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.37079583766902	40.0	276.11370239765574	301	9.090909090909092	0.644296
SRR27013263_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	24.174152854407254	41.0	251.75431616330525	301	9.090909090909092	0.676353
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	27.48566391828193	40.0	251.8113998464009	301	9.090909090909092	0.71615
SRR27013264_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	22.457784337283513	41.0	253.15151783844166	301	9.090909090909092	0.71615
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	35.27597994246028	41.0	238.74182350462016	284	9.090909090909092	1.103315
SRR27013265_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	31.650294923090343	41.0	239.95804688597545	284	9.090909090909092	1.103315
SRR27013266_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	28.197927700508814	41.0	252.67831242526648	301	9.090909090909092	0.9140809999999999
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	31.12965763537578	41.0	244.62074065182162	284	9.090909090909092	0.83305
SRR27013267_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	29.11240742867888	41.0	245.09362223155873	284	9.090909090909092	0.83305
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	36.241593205609846	40.0	216.70846739040186	244	18.181818181818183	1.348928
SRR27013268_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	33.07685298632882	40.0	218.1043065308156	244	27.27272727272727	1.348928
SRR27013269_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	29.426482246695286	41.0	249.4220849356616	294	18.181818181818183	0.781415
