.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27013147_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013147_2	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	0.25	1	0.25	0.5	1	0.5	1	1	1
SRR27013245_1	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR27013245_2	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR27013246_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013246_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013247_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013247_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013248_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013248_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013249_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013249_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013250_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013250_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013251_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR27013251_2	1	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.25	1	0.5	0.5	0.5	1
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR27013252_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013252_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013253_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
