Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR27013147_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.5)	(13.0, 0.0)	(14.0, 1.5)	(15.0, 5.0)	(16.0, 10.5)	(17.0, 19.333333333333336)	(18.0, 30.166666666666664)	(19.0, 50.166666666666664)	(20.0, 82.33333333333334)	(21.0, 130.83333333333331)	(22.0, 195.4166666666667)	(23.0, 310.0833333333333)	(24.0, 519.4999999999997)	(25.0, 771.0833333333342)	(26.0, 1133.0000000000011)	(27.0, 1645.3333333333273)	(28.0, 2402.4999999999995)	(29.0, 3472.4166666667197)	(30.0, 4824.250000000016)	(31.0, 6472.833333333111)	(32.0, 8734.08333333298)	(33.0, 11603.333333334067)	(34.0, 15251.250000002401)	(35.0, 20017.4166666663)	(36.0, 25672.499999993845)	(37.0, 31657.166666654222)	(38.0, 37228.49999999569)	(39.0, 42202.08333333939)	(40.0, 45531.58333334655)	(41.0, 46492.33333334869)	(42.0, 44629.5000000107)	(43.0, 40825.50000000245)	(44.0, 35672.41666665902)	(45.0, 29683.08333332346)	(46.0, 23169.749999996555)	(47.0, 17583.333333335133)	(48.0, 13397.833333334822)	(49.0, 10221.333333333454)	(50.0, 8228.833333332761)	(51.0, 6506.833333333071)	(52.0, 5340.499999999923)	(53.0, 4918.999999999997)	(54.0, 4282.7500000001255)	(55.0, 2995.1666666667315)	(56.0, 2015.1666666666256)	(57.0, 1584.4166666666515)	(58.0, 1120.5833333333362)	(59.0, 884.2500000000048)	(60.0, 768.2500000000048)	(61.0, 520.7499999999968)	(62.0, 356.4999999999999)	(63.0, 317.9166666666666)	(64.0, 313.33333333333326)	(65.0, 308.99999999999994)	(66.0, 233.66666666666677)	(67.0, 166.83333333333334)	(68.0, 119.66666666666667)	(69.0, 65.5)	(70.0, 33.0)	(71.0, 17.833333333333332)	(72.0, 10.5)	(73.0, 6.333333333333333)	(74.0, 2.0833333333333335)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 0.5)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR27013147_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.5)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 10.0)	(17.0, 19.0)	(18.0, 32.83333333333333)	(19.0, 51.833333333333336)	(20.0, 82.16666666666666)	(21.0, 126.75)	(22.0, 189.83333333333334)	(23.0, 308.4166666666667)	(24.0, 495.91666666666634)	(25.0, 745.2500000000008)	(26.0, 1100.333333333335)	(27.0, 1593.999999999995)	(28.0, 2375.6666666666633)	(29.0, 3431.583333333374)	(30.0, 4678.1666666667)	(31.0, 6220.583333333151)	(32.0, 8378.666666666224)	(33.0, 11225.083333333896)	(34.0, 14879.000000002228)	(35.0, 19574.333333333303)	(36.0, 24941.583333327842)	(37.0, 30800.833333321883)	(38.0, 36619.58333332744)	(39.0, 41793.5000000058)	(40.0, 45272.25000001279)	(41.0, 46453.00000001497)	(42.0, 44907.91666667788)	(43.0, 41108.75000000336)	(44.0, 35825.66666665943)	(45.0, 30137.499999989825)	(46.0, 24089.749999995598)	(47.0, 18342.583333334438)	(48.0, 14005.750000001613)	(49.0, 10604.833333333649)	(50.0, 8264.249999999463)	(51.0, 6641.916666666377)	(52.0, 5405.333333333239)	(53.0, 4744.166666666685)	(54.0, 4246.500000000132)	(55.0, 3222.0000000000905)	(56.0, 2267.0833333333176)	(57.0, 1665.1666666666488)	(58.0, 1201.9166666666672)	(59.0, 891.5000000000041)	(60.0, 811.0833333333383)	(61.0, 637.5000000000006)	(62.0, 435.99999999999943)	(63.0, 333.49999999999994)	(64.0, 300.25000000000006)	(65.0, 267.33333333333337)	(66.0, 223.16666666666677)	(67.0, 177.66666666666669)	(68.0, 123.49999999999999)	(69.0, 74.0)	(70.0, 47.33333333333333)	(71.0, 22.25)	(72.0, 6.833333333333333)	(73.0, 4.583333333333333)	(74.0, 3.5)	(75.0, 2.583333333333333)	(76.0, 3.25)	(77.0, 2.333333333333333)	(78.0, 1.5)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 0.25)	(82.0, 0.5)	(83.0, 0.25)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 0.25)	(99.0, 0.25)	(100.0, 1.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.5)	(13.0, 0.0)	(14.0, 1.5)	(15.0, 5.0)	(16.0, 10.5)	(17.0, 19.333333333333336)	(18.0, 30.166666666666664)	(19.0, 50.166666666666664)	(20.0, 82.33333333333334)	(21.0, 130.83333333333331)	(22.0, 195.4166666666667)	(23.0, 310.0833333333333)	(24.0, 519.4999999999997)	(25.0, 771.0833333333342)	(26.0, 1133.0000000000011)	(27.0, 1645.3333333333273)	(28.0, 2402.4999999999995)	(29.0, 3472.4166666667197)	(30.0, 4824.250000000016)	(31.0, 6472.833333333111)	(32.0, 8734.08333333298)	(33.0, 11603.333333334067)	(34.0, 15251.250000002401)	(35.0, 20017.4166666663)	(36.0, 25672.499999993845)	(37.0, 31657.166666654222)	(38.0, 37228.49999999569)	(39.0, 42202.08333333939)	(40.0, 45531.58333334655)	(41.0, 46492.33333334869)	(42.0, 44629.5000000107)	(43.0, 40825.50000000245)	(44.0, 35672.41666665902)	(45.0, 29683.08333332346)	(46.0, 23169.749999996555)	(47.0, 17583.333333335133)	(48.0, 13397.833333334822)	(49.0, 10221.333333333454)	(50.0, 8228.833333332761)	(51.0, 6506.833333333071)	(52.0, 5340.499999999923)	(53.0, 4918.999999999997)	(54.0, 4282.7500000001255)	(55.0, 2995.1666666667315)	(56.0, 2015.1666666666256)	(57.0, 1584.4166666666515)	(58.0, 1120.5833333333362)	(59.0, 884.2500000000048)	(60.0, 768.2500000000048)	(61.0, 520.7499999999968)	(62.0, 356.4999999999999)	(63.0, 317.9166666666666)	(64.0, 313.33333333333326)	(65.0, 308.99999999999994)	(66.0, 233.66666666666677)	(67.0, 166.83333333333334)	(68.0, 119.66666666666667)	(69.0, 65.5)	(70.0, 33.0)	(71.0, 17.833333333333332)	(72.0, 10.5)	(73.0, 6.333333333333333)	(74.0, 2.0833333333333335)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 0.5)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.5)	(14.0, 1.0)	(15.0, 5.0)	(16.0, 10.0)	(17.0, 19.0)	(18.0, 32.83333333333333)	(19.0, 51.833333333333336)	(20.0, 82.16666666666666)	(21.0, 126.75)	(22.0, 189.83333333333334)	(23.0, 308.4166666666667)	(24.0, 495.91666666666634)	(25.0, 745.2500000000008)	(26.0, 1100.333333333335)	(27.0, 1593.999999999995)	(28.0, 2375.6666666666633)	(29.0, 3431.583333333374)	(30.0, 4678.1666666667)	(31.0, 6220.583333333151)	(32.0, 8378.666666666224)	(33.0, 11225.083333333896)	(34.0, 14879.000000002228)	(35.0, 19574.333333333303)	(36.0, 24941.583333327842)	(37.0, 30800.833333321883)	(38.0, 36619.58333332744)	(39.0, 41793.5000000058)	(40.0, 45272.25000001279)	(41.0, 46453.00000001497)	(42.0, 44907.91666667788)	(43.0, 41108.75000000336)	(44.0, 35825.66666665943)	(45.0, 30137.499999989825)	(46.0, 24089.749999995598)	(47.0, 18342.583333334438)	(48.0, 14005.750000001613)	(49.0, 10604.833333333649)	(50.0, 8264.249999999463)	(51.0, 6641.916666666377)	(52.0, 5405.333333333239)	(53.0, 4744.166666666685)	(54.0, 4246.500000000132)	(55.0, 3222.0000000000905)	(56.0, 2267.0833333333176)	(57.0, 1665.1666666666488)	(58.0, 1201.9166666666672)	(59.0, 891.5000000000041)	(60.0, 811.0833333333383)	(61.0, 637.5000000000006)	(62.0, 435.99999999999943)	(63.0, 333.49999999999994)	(64.0, 300.25000000000006)	(65.0, 267.33333333333337)	(66.0, 223.16666666666677)	(67.0, 177.66666666666669)	(68.0, 123.49999999999999)	(69.0, 74.0)	(70.0, 47.33333333333333)	(71.0, 22.25)	(72.0, 6.833333333333333)	(73.0, 4.583333333333333)	(74.0, 3.5)	(75.0, 2.583333333333333)	(76.0, 3.25)	(77.0, 2.333333333333333)	(78.0, 1.5)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 0.25)	(82.0, 0.5)	(83.0, 0.25)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 0.25)	(99.0, 0.25)	(100.0, 1.0)
SRR27013245_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 0.5)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 4.0)	(19.0, 9.5)	(20.0, 16.0)	(21.0, 32.0)	(22.0, 49.58333333333333)	(23.0, 64.08333333333333)	(24.0, 94.66666666666667)	(25.0, 147.91666666666666)	(26.0, 228.08333333333348)	(27.0, 325.75)	(28.0, 485.41666666666583)	(29.0, 703.5000000000013)	(30.0, 986.8333333333413)	(31.0, 1447.3333333333233)	(32.0, 2109.3333333332935)	(33.0, 3061.6666666667406)	(34.0, 4450.333333333459)	(35.0, 6225.416666666292)	(36.0, 8531.16666666594)	(37.0, 11397.500000000877)	(38.0, 14108.333333335586)	(39.0, 16260.833333336679)	(40.0, 17885.916666668523)	(41.0, 18368.250000001295)	(42.0, 17621.91666666874)	(43.0, 16071.000000003109)	(44.0, 13822.666666668702)	(45.0, 11350.250000000722)	(46.0, 8637.249999999398)	(47.0, 6450.66666666628)	(48.0, 5148.666666666602)	(49.0, 4415.916666666785)	(50.0, 4383.166666666797)	(51.0, 4488.750000000103)	(52.0, 4914.916666666661)	(53.0, 5873.333333333114)	(54.0, 6753.249999999562)	(55.0, 7215.583333332792)	(56.0, 7561.999999999414)	(57.0, 8047.583333332691)	(58.0, 7971.583333332706)	(59.0, 7476.333333332797)	(60.0, 6491.416666666327)	(61.0, 5064.166666666645)	(62.0, 3870.1666666668184)	(63.0, 2828.9166666667056)	(64.0, 1985.333333333295)	(65.0, 1406.6666666666572)	(66.0, 1008.583333333343)	(67.0, 758.6666666666694)	(68.0, 523.1666666666647)	(69.0, 357.5833333333328)	(70.0, 230.50000000000037)	(71.0, 152.3333333333333)	(72.0, 93.99999999999997)	(73.0, 56.333333333333336)	(74.0, 35.99999999999999)	(75.0, 17.250000000000004)	(76.0, 8.083333333333332)	(77.0, 5.75)	(78.0, 4.5)	(79.0, 2.583333333333333)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 1.0)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.25)	(88.0, 0.25)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR27013245_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.0)	(17.0, 1.5)	(18.0, 4.5)	(19.0, 10.5)	(20.0, 17.833333333333336)	(21.0, 31.999999999999996)	(22.0, 44.08333333333333)	(23.0, 59.416666666666664)	(24.0, 91.58333333333333)	(25.0, 146.16666666666669)	(26.0, 224.58333333333346)	(27.0, 321.91666666666663)	(28.0, 487.24999999999886)	(29.0, 688.8333333333343)	(30.0, 946.5000000000058)	(31.0, 1376.3333333333262)	(32.0, 1982.333333333294)	(33.0, 2876.7500000000464)	(34.0, 4165.000000000207)	(35.0, 5983.7499999996935)	(36.0, 8359.4999999992)	(37.0, 11140.583333334096)	(38.0, 13818.333333335464)	(39.0, 16169.666666669907)	(40.0, 17670.50000000204)	(41.0, 18262.583333334736)	(42.0, 17499.25000000223)	(43.0, 15989.583333336348)	(44.0, 13859.16666666861)	(45.0, 11696.916666667565)	(46.0, 8949.666666666222)	(47.0, 6756.166666666216)	(48.0, 5276.416666666586)	(49.0, 4452.666666666776)	(50.0, 4358.916666666802)	(51.0, 4432.833333333456)	(52.0, 4723.250000000044)	(53.0, 5500.249999999863)	(54.0, 6241.83333333302)	(55.0, 6824.83333333292)	(56.0, 7136.9166666661895)	(57.0, 7469.416666666137)	(58.0, 7546.083333332809)	(59.0, 7187.333333332904)	(60.0, 6533.499999999699)	(61.0, 5488.166666666554)	(62.0, 4354.000000000104)	(63.0, 3326.8333333334017)	(64.0, 2430.583333333328)	(65.0, 1756.999999999982)	(66.0, 1275.6666666666652)	(67.0, 947.2500000000058)	(68.0, 686.2500000000011)	(69.0, 497.41666666666555)	(70.0, 337.1666666666667)	(71.0, 235.08333333333357)	(72.0, 165.75)	(73.0, 117.16666666666664)	(74.0, 91.08333333333333)	(75.0, 58.416666666666664)	(76.0, 40.833333333333336)	(77.0, 25.75)	(78.0, 14.583333333333334)	(79.0, 8.25)	(80.0, 8.25)	(81.0, 4.75)	(82.0, 2.0)	(83.0, 1.25)	(84.0, 1.25)	(85.0, 1.75)	(86.0, 1.25)	(87.0, 0.75)	(88.0, 0.5)	(89.0, 0.75)	(90.0, 0.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 0.75)	(95.0, 0.25)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 1.5)	(100.0, 1.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 1.0)	(14.0, 0.5)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 4.0)	(19.0, 9.5)	(20.0, 16.0)	(21.0, 32.0)	(22.0, 49.58333333333333)	(23.0, 64.08333333333333)	(24.0, 94.66666666666667)	(25.0, 147.91666666666666)	(26.0, 228.08333333333348)	(27.0, 325.75)	(28.0, 485.41666666666583)	(29.0, 703.5000000000013)	(30.0, 986.8333333333413)	(31.0, 1447.3333333333233)	(32.0, 2109.3333333332935)	(33.0, 3061.6666666667406)	(34.0, 4450.333333333459)	(35.0, 6225.416666666292)	(36.0, 8531.16666666594)	(37.0, 11397.500000000877)	(38.0, 14108.333333335586)	(39.0, 16260.833333336679)	(40.0, 17885.916666668523)	(41.0, 18368.250000001295)	(42.0, 17621.91666666874)	(43.0, 16071.000000003109)	(44.0, 13822.666666668702)	(45.0, 11350.250000000722)	(46.0, 8637.249999999398)	(47.0, 6450.66666666628)	(48.0, 5148.666666666602)	(49.0, 4415.916666666785)	(50.0, 4383.166666666797)	(51.0, 4488.750000000103)	(52.0, 4914.916666666661)	(53.0, 5873.333333333114)	(54.0, 6753.249999999562)	(55.0, 7215.583333332792)	(56.0, 7561.999999999414)	(57.0, 8047.583333332691)	(58.0, 7971.583333332706)	(59.0, 7476.333333332797)	(60.0, 6491.416666666327)	(61.0, 5064.166666666645)	(62.0, 3870.1666666668184)	(63.0, 2828.9166666667056)	(64.0, 1985.333333333295)	(65.0, 1406.6666666666572)	(66.0, 1008.583333333343)	(67.0, 758.6666666666694)	(68.0, 523.1666666666647)	(69.0, 357.5833333333328)	(70.0, 230.50000000000037)	(71.0, 152.3333333333333)	(72.0, 93.99999999999997)	(73.0, 56.333333333333336)	(74.0, 35.99999999999999)	(75.0, 17.250000000000004)	(76.0, 8.083333333333332)	(77.0, 5.75)	(78.0, 4.5)	(79.0, 2.583333333333333)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 1.0)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.25)	(88.0, 0.25)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.0)	(17.0, 1.5)	(18.0, 4.5)	(19.0, 10.5)	(20.0, 17.833333333333336)	(21.0, 31.999999999999996)	(22.0, 44.08333333333333)	(23.0, 59.416666666666664)	(24.0, 91.58333333333333)	(25.0, 146.16666666666669)	(26.0, 224.58333333333346)	(27.0, 321.91666666666663)	(28.0, 487.24999999999886)	(29.0, 688.8333333333343)	(30.0, 946.5000000000058)	(31.0, 1376.3333333333262)	(32.0, 1982.333333333294)	(33.0, 2876.7500000000464)	(34.0, 4165.000000000207)	(35.0, 5983.7499999996935)	(36.0, 8359.4999999992)	(37.0, 11140.583333334096)	(38.0, 13818.333333335464)	(39.0, 16169.666666669907)	(40.0, 17670.50000000204)	(41.0, 18262.583333334736)	(42.0, 17499.25000000223)	(43.0, 15989.583333336348)	(44.0, 13859.16666666861)	(45.0, 11696.916666667565)	(46.0, 8949.666666666222)	(47.0, 6756.166666666216)	(48.0, 5276.416666666586)	(49.0, 4452.666666666776)	(50.0, 4358.916666666802)	(51.0, 4432.833333333456)	(52.0, 4723.250000000044)	(53.0, 5500.249999999863)	(54.0, 6241.83333333302)	(55.0, 6824.83333333292)	(56.0, 7136.9166666661895)	(57.0, 7469.416666666137)	(58.0, 7546.083333332809)	(59.0, 7187.333333332904)	(60.0, 6533.499999999699)	(61.0, 5488.166666666554)	(62.0, 4354.000000000104)	(63.0, 3326.8333333334017)	(64.0, 2430.583333333328)	(65.0, 1756.999999999982)	(66.0, 1275.6666666666652)	(67.0, 947.2500000000058)	(68.0, 686.2500000000011)	(69.0, 497.41666666666555)	(70.0, 337.1666666666667)	(71.0, 235.08333333333357)	(72.0, 165.75)	(73.0, 117.16666666666664)	(74.0, 91.08333333333333)	(75.0, 58.416666666666664)	(76.0, 40.833333333333336)	(77.0, 25.75)	(78.0, 14.583333333333334)	(79.0, 8.25)	(80.0, 8.25)	(81.0, 4.75)	(82.0, 2.0)	(83.0, 1.25)	(84.0, 1.25)	(85.0, 1.75)	(86.0, 1.25)	(87.0, 0.75)	(88.0, 0.5)	(89.0, 0.75)	(90.0, 0.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 0.75)	(95.0, 0.25)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 1.5)	(100.0, 1.0)
SRR27013246_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.5)	(19.0, 7.5)	(20.0, 12.75)	(21.0, 19.833333333333332)	(22.0, 30.416666666666668)	(23.0, 44.5)	(24.0, 65.66666666666669)	(25.0, 97.08333333333329)	(26.0, 154.25000000000003)	(27.0, 227.66666666666706)	(28.0, 394.24999999999903)	(29.0, 613.9166666666662)	(30.0, 978.2500000000099)	(31.0, 1502.3333333333187)	(32.0, 2268.0833333333103)	(33.0, 3390.6666666667907)	(34.0, 4944.166666666663)	(35.0, 7134.833333332707)	(36.0, 9993.250000000118)	(37.0, 13238.666666668478)	(38.0, 15996.000000003081)	(39.0, 18544.41666666782)	(40.0, 20162.749999999447)	(41.0, 20338.999999999432)	(42.0, 19076.250000000626)	(43.0, 16996.25000000262)	(44.0, 14089.75000000211)	(45.0, 11227.666666667392)	(46.0, 8059.91666666587)	(47.0, 5417.749999999884)	(48.0, 3828.500000000179)	(49.0, 2796.9166666667106)	(50.0, 2403.500000000002)	(51.0, 2057.4999999999577)	(52.0, 1808.4999999999661)	(53.0, 1873.6666666666363)	(54.0, 1761.0833333333112)	(55.0, 1232.1666666666658)	(56.0, 669.0000000000027)	(57.0, 486.8333333333314)	(58.0, 298.16666666666697)	(59.0, 292.41666666666697)	(60.0, 269.33333333333394)	(61.0, 114.83333333333317)	(62.0, 63.16666666666667)	(63.0, 64.33333333333334)	(64.0, 61.66666666666667)	(65.0, 57.08333333333333)	(66.0, 47.083333333333336)	(67.0, 33.83333333333333)	(68.0, 20.666666666666664)	(69.0, 9.583333333333334)	(70.0, 7.0)	(71.0, 4.5)	(72.0, 2.25)	(73.0, 1.5)	(74.0, 1.0)	(75.0, 1.0)	(76.0, 0.75)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR27013246_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.5)	(18.0, 2.5)	(19.0, 6.5)	(20.0, 11.5)	(21.0, 18.5)	(22.0, 26.833333333333332)	(23.0, 43.583333333333336)	(24.0, 63.25000000000002)	(25.0, 83.16666666666666)	(26.0, 135.74999999999991)	(27.0, 236.33333333333377)	(28.0, 387.83333333333246)	(29.0, 617.9166666666669)	(30.0, 931.1666666666738)	(31.0, 1437.99999999999)	(32.0, 2137.833333333299)	(33.0, 3301.7500000001173)	(34.0, 4931.833333333318)	(35.0, 7075.583333332754)	(36.0, 9819.583333333334)	(37.0, 12885.166666668256)	(38.0, 15890.166666669715)	(39.0, 18410.66666666792)	(40.0, 19894.24999999963)	(41.0, 20191.33333333274)	(42.0, 19133.83333333391)	(43.0, 17013.91666666925)	(44.0, 14301.166666668805)	(45.0, 11204.2500000007)	(46.0, 8189.7499999992)	(47.0, 5709.999999999802)	(48.0, 4010.66666666686)	(49.0, 2918.7500000000605)	(50.0, 2405.249999999996)	(51.0, 2052.4166666666265)	(52.0, 1799.0833333333057)	(53.0, 1798.9166666666408)	(54.0, 1713.4166666666463)	(55.0, 1292.1666666666629)	(56.0, 788.9166666666717)	(57.0, 530.3333333333321)	(58.0, 374.4999999999995)	(59.0, 292.58333333333366)	(60.0, 283.75000000000017)	(61.0, 174.33333333333346)	(62.0, 91.41666666666666)	(63.0, 69.83333333333333)	(64.0, 57.833333333333336)	(65.0, 46.583333333333336)	(66.0, 42.333333333333336)	(67.0, 39.33333333333333)	(68.0, 32.083333333333336)	(69.0, 19.666666666666664)	(70.0, 10.833333333333334)	(71.0, 3.75)	(72.0, 3.583333333333333)	(73.0, 2.0)	(74.0, 0.5)	(75.0, 0.5)	(76.0, 0.75)	(77.0, 0.75)	(78.0, 0.75)	(79.0, 0.25)	(80.0, 0.8333333333333333)	(81.0, 0.25)	(82.0, 1.25)	(83.0, 0.5)	(84.0, 0.25)	(85.0, 1.0833333333333333)	(86.0, 0.75)	(87.0, 0.0)	(88.0, 0.5)	(89.0, 0.25)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 0.25)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.25)	(96.0, 0.0)	(97.0, 0.25)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 1.3333333333333333)
