Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR27013147_1	(30.0, 945855.0)																					
SRR27013147_2	(30.0, 945855.0)																					
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 945855.0)																					
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 945855.0)																					
SRR27013245_1	(30.0, 628695.0)																					
SRR27013245_2	(30.0, 628695.0)																					
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 628695.0)																					
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 628695.0)																					
SRR27013246_1	(30.0, 491294.0)																					
SRR27013246_2	(30.0, 491294.0)																					
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 491294.0)																					
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 491294.0)																					
SRR27013247_1	(30.0, 418245.0)																					
SRR27013247_2	(30.0, 418245.0)																					
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 418245.0)																					
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 418245.0)																					
SRR27013248_1	(30.0, 604965.0)																					
SRR27013248_2	(30.0, 604965.0)																					
SRR27013249_1	(30.0, 540271.0)																					
SRR27013249_2	(30.0, 540271.0)																					
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 540271.0)																					
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 540271.0)																					
SRR27013250_1	(30.0, 694326.0)																					
SRR27013250_2	(30.0, 694326.0)																					
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 694326.0)																					
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 694326.0)																					
SRR27013251_1	(30.0, 497479.0)																					
SRR27013251_2	(30.0, 497479.0)																					
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 497479.0)																					
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 497479.0)																					
SRR27013252_1	(30.0, 561627.0)																					
SRR27013252_2	(30.0, 561627.0)																					
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 561627.0)																					
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 561627.0)																					
SRR27013253_1	(30.0, 505237.0)																					
SRR27013253_2	(30.0, 505237.0)																					
SRR27013254_1	(30.0, 597439.0)																					
SRR27013254_2	(30.0, 597439.0)																					
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 597439.0)																					
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 597439.0)																					
SRR27013255_1	(30.0, 567956.0)																					
SRR27013255_2	(30.0, 567956.0)																					
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 567956.0)																					
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 567956.0)																					
SRR27013256_1	(30.0, 591901.0)																					
SRR27013256_2	(30.0, 591901.0)																					
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 91632.0)																					
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 91632.0)																					
SRR27013257_1	(30.0, 508471.0)																					
SRR27013257_2	(30.0, 508471.0)																					
SRR27013258_1	(30.0, 516793.0)																					
SRR27013258_2	(30.0, 516793.0)																					
