Sample	Unique Reads	Duplicate Reads
SRR27013147_1	636385.0	309470.0
SRR27013147_2	666058.0	279797.0
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	636385.0	309470.0
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	666058.0	279797.0
SRR27013245_1	517096.0	111599.0
SRR27013245_2	529936.0	98759.0
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	517096.0	111599.0
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	529936.0	98759.0
SRR27013246_1	368862.0	122432.0
SRR27013246_2	385599.0	105695.0
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	368862.0	122432.0
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	385599.0	105695.0
SRR27013247_1	328898.0	89347.0
SRR27013247_2	342811.0	75434.0
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	328898.0	89347.0
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	342811.0	75434.0
SRR27013248_1	435921.0	169044.0
SRR27013248_2	450805.0	154160.0
SRR27013249_1	411894.0	128377.0
SRR27013249_2	426890.0	113381.0
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	411894.0	128377.0
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	426890.0	113381.0
SRR27013250_1	499414.0	194912.0
SRR27013250_2	515992.0	178334.0
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	499414.0	194912.0
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	515992.0	178334.0
SRR27013251_1	345360.0	152119.0
SRR27013251_2	361081.0	136398.0
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	345360.0	152119.0
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	361081.0	136398.0
SRR27013252_1	403509.0	158118.0
SRR27013252_2	418850.0	142777.0
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	403509.0	158118.0
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	418850.0	142777.0
SRR27013253_1	391030.0	114207.0
SRR27013253_2	406922.0	98315.0
SRR27013254_1	446017.0	151422.0
SRR27013254_2	461403.0	136036.0
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	446017.0	151422.0
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	461403.0	136036.0
SRR27013255_1	435397.0	132559.0
SRR27013255_2	454592.0	113364.0
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	435397.0	132559.0
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	454592.0	113364.0
SRR27013256_1	447119.0	144782.0
SRR27013256_2	461901.0	130000.0
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	86254.0	5378.0
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	86812.0	4820.0
SRR27013257_1	397659.0	110812.0
SRR27013257_2	419957.0	88514.0
SRR27013258_1	400897.0	115896.0
SRR27013258_2	419469.0	97324.0
SRR27013259_1	401271.0	108478.0
SRR27013259_2	426700.0	83049.0
SRR27013260_1	464894.0	158520.0
SRR27013260_2	492278.0	131136.0
SRR27013261_1	466937.0	169556.0
SRR27013261_2	487141.0	149352.0
SRR27013262_1	479706.0	164330.0
SRR27013262_2	506495.0	137541.0
SRR27013263_1	492499.0	183067.0
SRR27013263_2	512885.0	162681.0
SRR27013264_1	519313.0	196054.0
SRR27013264_2	555176.0	160191.0
SRR27013265_1	702688.0	374885.0
SRR27013265_2	740802.0	336771.0
SRR27013266_1	603883.0	287853.0
SRR27013266_2	644000.0	247736.0
SRR27013267_1	573747.0	258309.0
SRR27013267_2	590507.0	241549.0
SRR27013268_1	839172.0	463088.0
SRR27013268_2	873311.0	428949.0
SRR27013269_1	533236.0	214904.0
SRR27013269_2	554063.0	194077.0
SRR27013270_1	338475.0	76455.0
SRR27013270_2	351050.0	63880.0
SRR27013271_1	546420.0	220068.0
SRR27013271_2	576010.0	190478.0
SRR27013272_1	491853.0	172141.0
SRR27013272_2	509500.0	154494.0
SRR27013273_1	601888.0	315436.0
SRR27013273_2	640166.0	277158.0
SRR27013274_1	657875.0	312370.0
SRR27013274_2	699594.0	270651.0
SRR27013275_1	695908.0	355337.0
SRR27013275_2	722161.0	329084.0
SRR27013276_1	513151.0	202469.0
SRR27013276_2	535347.0	180273.0
SRR27013277_1	387182.0	115067.0
SRR27013277_2	407703.0	94546.0
SRR27013278_1	476826.0	185841.0
SRR27013278_2	506752.0	155915.0
SRR27013279_1	419136.0	150380.0
SRR27013279_2	450656.0	118860.0
SRR27013280_1	496293.0	215146.0
SRR27013280_2	527553.0	183886.0
SRR27013281_1	358492.0	88692.0
SRR27013281_2	370838.0	76346.0
SRR27013282_1	483398.0	190487.0
SRR27013282_2	513982.0	159903.0
SRR27013283_1	673212.0	347971.0
SRR27013283_2	701174.0	320009.0
SRR27013284_1	679703.0	357254.0
SRR27013284_2	718470.0	318487.0
SRR27013285_1	630719.0	303541.0
SRR27013285_2	667719.0	266541.0
SRR27013286_1	592974.0	277645.0
SRR27013286_2	631850.0	238769.0
SRR27013287_1	440024.0	145548.0
SRR27013287_2	462415.0	123157.0
SRR27013288_1	397272.0	121633.0
SRR27013288_2	418037.0	100868.0
SRR27013289_1	480856.0	199488.0
SRR27013289_2	516371.0	163973.0
SRR27013290_1	563435.0	248963.0
SRR27013290_2	593997.0	218401.0
SRR27013291_1	681393.0	324295.0
SRR27013291_2	714023.0	291665.0
SRR27013292_1	343233.0	95796.0
SRR27013292_2	360446.0	78583.0
SRR27013293_1	664578.0	331131.0
SRR27013293_2	693972.0	301737.0
SRR27013294_1	663840.0	321898.0
SRR27013294_2	719893.0	265845.0
SRR27013295_1	498736.0	178783.0
SRR27013295_2	517879.0	159640.0
SRR27013296_1	413016.0	128322.0
SRR27013296_2	429803.0	111535.0
SRR27013297_1	589995.0	234000.0
SRR27013297_2	621241.0	202754.0
SRR27013298_1	573386.0	191872.0
SRR27013298_2	575082.0	190176.0
SRR27013299_1	580075.0	230896.0
SRR27013299_2	613175.0	197796.0
SRR27013300_1	520326.0	163582.0
SRR27013300_2	521635.0	162273.0
SRR27013301_1	544256.0	199111.0
SRR27013301_2	572640.0	170727.0
SRR27013302_1	569370.0	212956.0
SRR27013302_2	598715.0	183611.0
SRR27013303_1	555652.0	211950.0
