Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27013147_1	(1.0, 50.38789639878327)	(2.0, 20.56664266553668)	(3.0, 10.36101687349399)	(4.0, 5.813982134245476)	(5.0, 3.555852092610914)	(6.0, 2.1280172611320767)	(7.0, 1.416328609657932)	(8.0, 0.9568145855308543)	(9.0, 0.7095048215033116)	('>10', 3.573808003990684)	('>50', 0.47184265360634536)	('>100', 0.0582938999083936)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013147_2	(1.0, 54.72606027295054)	(2.0, 19.402545117881466)	(3.0, 9.573361519348532)	(4.0, 5.311199906317093)	(5.0, 3.0999257220494987)	(6.0, 1.8604986375817822)	(7.0, 1.2500514037564154)	(8.0, 0.8439991303534653)	(9.0, 0.5422492534656324)	('>10', 2.974995839267137)	('>50', 0.37869418662857396)	('>100', 0.03641901039984049)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 50.38789639878327)	(2.0, 20.56664266553668)	(3.0, 10.36101687349399)	(4.0, 5.813982134245476)	(5.0, 3.555852092610914)	(6.0, 2.1280172611320767)	(7.0, 1.416328609657932)	(8.0, 0.9568145855308543)	(9.0, 0.7095048215033116)	('>10', 3.573808003990684)	('>50', 0.47184265360634536)	('>100', 0.0582938999083936)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 54.72606027295054)	(2.0, 19.402545117881466)	(3.0, 9.573361519348532)	(4.0, 5.311199906317093)	(5.0, 3.0999257220494987)	(6.0, 1.8604986375817822)	(7.0, 1.2500514037564154)	(8.0, 0.8439991303534653)	(9.0, 0.5422492534656324)	('>10', 2.974995839267137)	('>50', 0.37869418662857396)	('>100', 0.03641901039984049)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013245_1	(1.0, 71.35172172230394)	(2.0, 15.690731664999358)	(3.0, 5.470333996679338)	(4.0, 2.445443739233841)	(5.0, 1.2652993009655473)	(6.0, 0.6858306865355792)	(7.0, 0.49382646481325965)	(8.0, 0.3056411573177175)	(9.0, 0.24068741860060974)	('>10', 1.9033458272877155)	('>50', 0.14713802126308248)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013245_2	(1.0, 74.56869241664322)	(2.0, 14.027508869626914)	(3.0, 4.919955860625639)	(4.0, 2.161072183723478)	(5.0, 1.0919515432524414)	(6.0, 0.5927449005949914)	(7.0, 0.39235304566742574)	(8.0, 0.2603512345547787)	(9.0, 0.2006651979205306)	('>10', 1.6544741792349538)	('>50', 0.13023056815565964)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 71.35172172230394)	(2.0, 15.690731664999358)	(3.0, 5.470333996679338)	(4.0, 2.445443739233841)	(5.0, 1.2652993009655473)	(6.0, 0.6858306865355792)	(7.0, 0.49382646481325965)	(8.0, 0.3056411573177175)	(9.0, 0.24068741860060974)	('>10', 1.9033458272877155)	('>50', 0.14713802126308248)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 74.56869241664322)	(2.0, 14.027508869626914)	(3.0, 4.919955860625639)	(4.0, 2.161072183723478)	(5.0, 1.0919515432524414)	(6.0, 0.5927449005949914)	(7.0, 0.39235304566742574)	(8.0, 0.2603512345547787)	(9.0, 0.2006651979205306)	('>10', 1.6544741792349538)	('>50', 0.13023056815565964)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013246_1	(1.0, 60.86411640895372)	(2.0, 19.26327211374649)	(3.0, 7.936639935547913)	(4.0, 3.8030736195210824)	(5.0, 2.000646936672935)	(6.0, 1.1590822821052909)	(7.0, 0.7168147354429774)	(8.0, 0.5235917230015397)	(9.0, 0.39070940655747805)	('>10', 2.9593002428535327)	('>50', 0.35329446058559744)	('>100', 0.029458135011450046)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013246_2	(1.0, 65.84518225304994)	(2.0, 17.5256935202306)	(3.0, 6.807924180731691)	(4.0, 3.153407768553968)	(5.0, 1.6788237109554356)	(6.0, 0.9980999890695289)	(7.0, 0.6103143517653975)	(8.0, 0.38592847528179774)	(9.0, 0.2865607877872396)	('>10', 2.4347391446787237)	('>50', 0.25095540125242993)	('>100', 0.022370416643247397)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 60.86411640895372)	(2.0, 19.26327211374649)	(3.0, 7.936639935547913)	(4.0, 3.8030736195210824)	(5.0, 2.000646936672935)	(6.0, 1.1590822821052909)	(7.0, 0.7168147354429774)	(8.0, 0.5235917230015397)	(9.0, 0.39070940655747805)	('>10', 2.9593002428535327)	('>50', 0.35329446058559744)	('>100', 0.029458135011450046)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 65.84518225304994)	(2.0, 17.5256935202306)	(3.0, 6.807924180731691)	(4.0, 3.153407768553968)	(5.0, 1.6788237109554356)	(6.0, 0.9980999890695289)	(7.0, 0.6103143517653975)	(8.0, 0.38592847528179774)	(9.0, 0.2865607877872396)	('>10', 2.4347391446787237)	('>50', 0.25095540125242993)	('>100', 0.022370416643247397)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_1	(1.0, 65.13376456209198)	(2.0, 19.377683692752562)	(3.0, 7.02350498267059)	(4.0, 3.18067420811394)	(5.0, 1.4831997143893643)	(6.0, 0.7404077136316326)	(7.0, 0.5023239744739887)	(8.0, 0.3485019914325018)	(9.0, 0.24411708551387734)	('>10', 1.8587503682435373)	('>50', 0.08173777608621)	('>100', 0.025333930599819473)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_2	(1.0, 70.30597751059496)	(2.0, 16.957234081297294)	(3.0, 5.9509841161262225)	(4.0, 2.573738985473259)	(5.0, 1.2179995546566054)	(6.0, 0.6380765448428191)	(7.0, 0.36328784507701606)	(8.0, 0.25709583397137525)	(9.0, 0.20785997807467627)	('>10', 1.4678275967766472)	('>50', 0.05991795310911292)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 65.13376456209198)	(2.0, 19.377683692752562)	(3.0, 7.02350498267059)	(4.0, 3.18067420811394)	(5.0, 1.4831997143893643)	(6.0, 0.7404077136316326)	(7.0, 0.5023239744739887)	(8.0, 0.3485019914325018)	(9.0, 0.24411708551387734)	('>10', 1.8587503682435373)	('>50', 0.08173777608621)	('>100', 0.025333930599819473)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 70.30597751059496)	(2.0, 16.957234081297294)	(3.0, 5.9509841161262225)	(4.0, 2.573738985473259)	(5.0, 1.2179995546566054)	(6.0, 0.6380765448428191)	(7.0, 0.36328784507701606)	(8.0, 0.25709583397137525)	(9.0, 0.20785997807467627)	('>10', 1.4678275967766472)	('>50', 0.05991795310911292)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
