Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013147_1	(30, 4231.0)	(40, 11341.0)	(50, 12450.0)	(60, 13119.0)	(70, 13098.0)	(80, 13086.0)	(90, 12884.0)	(100, 13134.0)	(110, 13294.0)	(120, 13358.0)	(130, 13734.0)	(140, 13976.0)	(150, 14877.0)	(160, 15669.0)	(170, 16186.0)	(180, 17386.0)	(190, 18324.0)	(200, 19788.0)	(210, 21517.0)	(220, 22959.0)	(230, 24343.0)	(240, 25585.0)	(250, 26856.0)	(260, 27203.0)	(270, 27653.0)	(280, 27864.0)	(290, 59697.0)	(300, 432243.0)
SRR27013147_2	(30, 4239.0)	(40, 11377.0)	(50, 12486.0)	(60, 13157.0)	(70, 13141.0)	(80, 13120.0)	(90, 12919.0)	(100, 13157.0)	(110, 13313.0)	(120, 13396.0)	(130, 13786.0)	(140, 14025.0)	(150, 14920.0)	(160, 15718.0)	(170, 16220.0)	(180, 17437.0)	(190, 18345.0)	(200, 19830.0)	(210, 21562.0)	(220, 22986.0)	(230, 24369.0)	(240, 25618.0)	(250, 27112.0)	(260, 27806.0)	(270, 28024.0)	(280, 28073.0)	(290, 53086.0)	(300, 436633.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 4231.0)	(40, 11341.0)	(50, 12450.0)	(60, 13119.0)	(70, 13098.0)	(80, 13086.0)	(90, 12884.0)	(100, 13134.0)	(110, 13294.0)	(120, 13358.0)	(130, 13734.0)	(140, 13976.0)	(150, 14877.0)	(160, 15669.0)	(170, 16186.0)	(180, 17386.0)	(190, 18324.0)	(200, 19788.0)	(210, 21517.0)	(220, 22959.0)	(230, 24343.0)	(240, 25585.0)	(250, 26856.0)	(260, 27203.0)	(270, 27653.0)	(280, 27864.0)	(290, 59697.0)	(300, 432243.0)
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 4239.0)	(40, 11377.0)	(50, 12486.0)	(60, 13157.0)	(70, 13141.0)	(80, 13120.0)	(90, 12919.0)	(100, 13157.0)	(110, 13313.0)	(120, 13396.0)	(130, 13786.0)	(140, 14025.0)	(150, 14920.0)	(160, 15718.0)	(170, 16220.0)	(180, 17437.0)	(190, 18345.0)	(200, 19830.0)	(210, 21562.0)	(220, 22986.0)	(230, 24369.0)	(240, 25618.0)	(250, 27112.0)	(260, 27806.0)	(270, 28024.0)	(280, 28073.0)	(290, 53086.0)	(300, 436633.0)
SRR27013245_1	(30, 674.0)	(40, 1682.0)	(50, 1923.0)	(60, 2088.0)	(70, 2250.0)	(80, 2380.0)	(90, 2477.0)	(100, 2689.0)	(110, 2925.0)	(120, 3176.0)	(130, 3430.0)	(140, 3802.0)	(150, 4216.0)	(160, 4853.0)	(170, 5291.0)	(180, 6036.0)	(190, 6876.0)	(200, 7510.0)	(210, 8480.0)	(220, 9531.0)	(230, 10461.0)	(240, 11481.0)	(250, 12363.0)	(260, 13614.0)	(270, 14634.0)	(280, 15693.0)	(290, 47722.0)	(300, 420438.0)
SRR27013245_2	(30, 673.0)	(40, 1680.0)	(50, 1923.0)	(60, 2089.0)	(70, 2255.0)	(80, 2382.0)	(90, 2485.0)	(100, 2701.0)	(110, 2929.0)	(120, 3182.0)	(130, 3434.0)	(140, 3815.0)	(150, 4215.0)	(160, 4850.0)	(170, 5292.0)	(180, 6052.0)	(190, 6869.0)	(200, 7508.0)	(210, 8492.0)	(220, 9530.0)	(230, 10456.0)	(240, 11498.0)	(250, 12349.0)	(260, 13594.0)	(270, 14533.0)	(280, 15593.0)	(290, 42576.0)	(300, 425740.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 674.0)	(40, 1682.0)	(50, 1923.0)	(60, 2088.0)	(70, 2250.0)	(80, 2380.0)	(90, 2477.0)	(100, 2689.0)	(110, 2925.0)	(120, 3176.0)	(130, 3430.0)	(140, 3802.0)	(150, 4216.0)	(160, 4853.0)	(170, 5291.0)	(180, 6036.0)	(190, 6876.0)	(200, 7510.0)	(210, 8480.0)	(220, 9531.0)	(230, 10461.0)	(240, 11481.0)	(250, 12363.0)	(260, 13614.0)	(270, 14634.0)	(280, 15693.0)	(290, 47722.0)	(300, 420438.0)
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 673.0)	(40, 1680.0)	(50, 1923.0)	(60, 2089.0)	(70, 2255.0)	(80, 2382.0)	(90, 2485.0)	(100, 2701.0)	(110, 2929.0)	(120, 3182.0)	(130, 3434.0)	(140, 3815.0)	(150, 4215.0)	(160, 4850.0)	(170, 5292.0)	(180, 6052.0)	(190, 6869.0)	(200, 7508.0)	(210, 8492.0)	(220, 9530.0)	(230, 10456.0)	(240, 11498.0)	(250, 12349.0)	(260, 13594.0)	(270, 14533.0)	(280, 15593.0)	(290, 42576.0)	(300, 425740.0)
SRR27013246_1	(30, 377.0)	(40, 875.0)	(50, 946.0)	(60, 1092.0)	(70, 1211.0)	(80, 1444.0)	(90, 1641.0)	(100, 1761.0)	(110, 2003.0)	(120, 2330.0)	(130, 2593.0)	(140, 2890.0)	(150, 3390.0)	(160, 3969.0)	(170, 4511.0)	(180, 5110.0)	(190, 5716.0)	(200, 6454.0)	(210, 7089.0)	(220, 7783.0)	(230, 8402.0)	(240, 9055.0)	(250, 9803.0)	(260, 10130.0)	(270, 10924.0)	(280, 11214.0)	(290, 36328.0)	(300, 332253.0)
SRR27013246_2	(30, 373.0)	(40, 876.0)	(50, 952.0)	(60, 1087.0)	(70, 1207.0)	(80, 1448.0)	(90, 1644.0)	(100, 1765.0)	(110, 2003.0)	(120, 2329.0)	(130, 2597.0)	(140, 2897.0)	(150, 3401.0)	(160, 3970.0)	(170, 4517.0)	(180, 5123.0)	(190, 5730.0)	(200, 6448.0)	(210, 7090.0)	(220, 7790.0)	(230, 8398.0)	(240, 9058.0)	(250, 9807.0)	(260, 10139.0)	(270, 10918.0)	(280, 11220.0)	(290, 34097.0)	(300, 334410.0)
