Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27013147_1	SRR27013147_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	945855.0	231.4 Mbp	0.0	31-301	41.0	67.28142869591318	244.6310449276052	294	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013147_2	SRR27013147_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	945855.0	231.2 Mbp	0.0	31-301	41.0	70.41855681318576	244.49577577958567	294	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	945855.0	231.4 Mbp	0.0	31-301	41.0	67.28142869591318	244.6310449276052	294	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	945855.0	231.2 Mbp	0.0	31-301	41.0	70.41855681318576	244.49577577958567	294	pass	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013245_1	SRR27013245_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628695.0	174.4 Mbp	0.0	31-301	46.0	82.24902353984162	277.36192350821943	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR27013245_2	SRR27013245_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628695.0	174.4 Mbp	0.0	31-301	46.0	84.29132275518528	277.40571739873866	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628695.0	174.4 Mbp	0.0	31-301	46.0	82.24902353984162	277.36192350821943	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628695.0	174.4 Mbp	0.0	31-301	46.0	84.29132275518528	277.40571739873866	301	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
SRR27013246_1	SRR27013246_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	491294.0	136.9 Mbp	0.0	31-301	41.0	75.07961684620209	278.5936679462806	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013246_2	SRR27013246_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	491294.0	136.9 Mbp	0.0	31-301	41.0	78.48622348041442	278.6061869267689	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
