Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013147_1	32.71857130408682	41.0	244.6310449276052	294	9.090909090909092	0.945855
SRR27013147_2	29.58144318681424	41.0	244.49577577958567	294	18.181818181818183	0.945855
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	32.71857130408682	41.0	244.6310449276052	294	9.090909090909092	0.945855
SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	29.58144318681424	41.0	244.49577577958567	294	18.181818181818183	0.945855
SRR27013245_1	17.750976460158384	46.0	277.36192350821943	301	18.181818181818183	0.628695
SRR27013245_2	15.708677244814723	46.0	277.40571739873866	301	18.181818181818183	0.628695
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	17.750976460158384	46.0	277.36192350821943	301	18.181818181818183	0.628695
SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	15.708677244814723	46.0	277.40571739873866	301	18.181818181818183	0.628695
SRR27013246_1	24.920383153797914	41.0	278.5936679462806	301	9.090909090909092	0.49129399999999995
SRR27013246_2	21.513776519585576	41.0	278.6061869267689	301	9.090909090909092	0.49129399999999995
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.920383153797914	41.0	278.5936679462806	301	9.090909090909092	0.49129399999999995
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.513776519585576	41.0	278.6061869267689	301	9.090909090909092	0.49129399999999995
SRR27013247_1	21.362482351010442	40.0	286.64096163731784	301	9.090909090909092	0.418245
SRR27013247_2	18.03591553978744	40.0	286.6646738155866	301	9.090909090909092	0.418245
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	21.362482351010442	40.0	286.64096163731784	301	9.090909090909092	0.418245
