Module	Section	Sample Name	Source
FastQC	all_sections	SRR27013147_1	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013147_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27013147_2	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013147_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013147_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27013245_1	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013245_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27013245_2	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013245_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013245_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27013246_1	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013246_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27013246_2	/home/teameinstein/Mary/SA_Polony_project/qc/trimmed_qc/SRR27013246_2.trimmed_fastqc.zip
