# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "ID" "-a" "genome/s_aureus_USA300.gff3" "-o" "counts/counts.txt" "mapped_reads/fm_1.bam" "mapped_reads/fm_2.bam" "mapped_reads/fm_3.bam" "mapped_reads/fm_4.bam" "mapped_reads/m_1.bam" "mapped_reads/m_2.bam" "mapped_reads/m_3.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/fm_1.bam	mapped_reads/fm_2.bam	mapped_reads/fm_3.bam	mapped_reads/fm_4.bam	mapped_reads/m_1.bam	mapped_reads/m_2.bam	mapped_reads/m_3.bam
gene-SAOUHSC_00001	NC_007795.1	517	1878	+	1362	314	92	79	103	109	165	1004
gene-SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	386	99	66	164	190	102	717
gene-SAOUHSC_00003	NC_007795.1	3670	3915	+	246	49	28	72	33	96	30	215
gene-SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	1624	1063	686	1089	2255	908	4366
gene-SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3549	1226	2066	1235	2661	1621	8920
gene-SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	6194	1527	1284	2372	4104	2408	7683
gene-SAOUHSC_00007	NC_007795.1	9755	10456	-	702	96	33	42	67	22	33	80
gene-SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	246	26	58	321	124	81	331
gene-SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	1873	136	195	428	1041	176	622
gene-SAOUHSC_00010	NC_007795.1	14722	15417	+	696	38	0	32	14	64	120	186
gene-SAOUHSC_00012	NC_007795.1	15414	15743	+	330	7	2	36	4	46	153	145
gene-SAOUHSC_00013	NC_007795.1	16106	17074	+	969	128	22	28	34	46	170	142
gene-SAOUHSC_00014	NC_007795.1	17365	18303	+	939	193	37	92	94	112	112	203
gene-SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	838	178	741	638	671	401	1421
gene-SAOUHSC_00017	NC_007795.1	20282	20734	+	453	156	91	184	92	97	56	445
gene-SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	1725	280	710	751	1298	599	3898
gene-SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	77	8	217	42	22	106	563
gene-SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	13	0	1	2	5	3	2
gene-SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	3	0	0	0	4	0	0
gene-SAOUHSC_00020	NC_007795.1	24931	25632	+	702	93	367	200	256	787	340	2097
gene-SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	1806	655	1065	2776	2015	1352	5631
gene-SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	2085	1698	2815	3951	2866	1860	7984
gene-SAOUHSC_00023	NC_007795.1	28799	29587	+	789	971	652	1415	938	1260	1250	3809
gene-SAOUHSC_00024	NC_007795.1	29977	30777	+	801	120	28	37	10	20	0	62
gene-SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	106	6	34	24	25	14	31
gene-SAOUHSC_00026	NC_007795.1	33555	34034	-	480	2	0	0	0	3	25	16
gene-SAOUHSC_00027	NC_007795.1	33691	34170	+	480	2	0	10	6	6	76	21
gene-SAOUHSC_00028	NC_007795.1	34375	34509	-	135	0	0	0	0	0	0	0
gene-SAOUHSC_00029	NC_007795.1	34473	34565	+	93	0	0	0	0	0	0	0
gene-SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	0	6	10	6	14	0	0
gene-SAOUHSC_00031	NC_007795.1	36551	37003	-	453	28	22	0	4	17	2	18
gene-SAOUHSC_00032	NC_007795.1	37019	37120	-	102	2	6	0	0	3	0	8
gene-SAOUHSC_00033	NC_007795.1	37218	37973	-	756	10	36	0	6	46	0	27
gene-SAOUHSC_00034	NC_007795.1	37973	38233	-	261	3	18	0	3	23	0	7
gene-SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	41	40	0	10	62	0	18
gene-SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	315	282	0	92	734	0	106
gene-SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	325	221	0	136	466	0	144
gene-SAOUHSC_00038	NC_007795.1	42281	42382	-	102	0	3	0	2	1	0	1
gene-SAOUHSC_00039	NC_007795.1	42681	43613	-	933	40	44	24	32	60	16	39
gene-SAOUHSC_00040	NC_007795.1	43976	44179	+	204	4	2	0	0	0	0	0
gene-SAOUHSC_00041	NC_007795.1	44228	44524	+	297	2	0	0	3	1	4	0
gene-SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	0	0	0	0	0	0	8
gene-SAOUHSC_00043	NC_007795.1	45809	46360	-	552	0	0	12	0	0	0	0
gene-SAOUHSC_00044	NC_007795.1	46473	47333	+	861	2	0	12	0	0	0	0
gene-SAOUHSC_00045	NC_007795.1	47689	48222	-	534	0	0	0	0	0	0	0
gene-SAOUHSC_00046	NC_007795.1	48313	49056	+	744	0	0	10	0	0	0	2
gene-SAOUHSC_00047	NC_007795.1	49490	50092	+	603	2	24	25	16	34	10	0
gene-SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	0	4	4	10	12	0	10
gene-SAOUHSC_00050	NC_007795.1	53568	54050	+	483	0	0	0	0	0	0	0
gene-SAOUHSC_00051	NC_007795.1	54255	55241	+	987	2	0	0	0	0	0	0
gene-SAOUHSC_00052	NC_007795.1	55462	56232	+	771	0	0	0	0	0	0	2
